"id"	"name"	"count"	"npc_templateid"	"locx"	"locy"	"randomx"	"randomy"	"heading"	"respawn_delay"	"mapid"	"movement_distance"
"86"	"Housekeeper^Leonora"	"1"	"50507"	"33460"	"32841"	"0"	"0"	"6"	"0"	"4"	"100"
"87"	"Housekeeper^Lucinda"	"1"	"50508"	"33371"	"32791"	"0"	"0"	"6"	"0"	"4"	"100"
"88"	"Housekeeper^Livia"	"1"	"50509"	"33425"	"32692"	"0"	"0"	"6"	"0"	"4"	"100"
"89"	"Housekeeper^Marina"	"1"	"50510"	"33342"	"32662"	"0"	"0"	"6"	"0"	"4"	"100"
"90"	"Housekeeper^Margery"	"1"	"50511"	"33367"	"32762"	"0"	"0"	"6"	"0"	"4"	"100"
"91"	"Housekeeper^Mary"	"1"	"50512"	"33361"	"32671"	"0"	"0"	"6"	"0"	"4"	"100"
"92"	"Housekeeper^Mennefer"	"1"	"50513"	"33405"	"32740"	"0"	"0"	"6"	"0"	"4"	"100"
"93"	"Housekeeper^Minerva"	"1"	"50514"	"33383"	"32775"	"0"	"0"	"4"	"0"	"4"	"100"
"94"	"Housekeeper^Miryam"	"1"	"50515"	"33380"	"32714"	"0"	"0"	"6"	"0"	"4"	"100"
"95"	"Housekeeper^Valeska"	"1"	"50516"	"33476"	"32667"	"0"	"0"	"4"	"0"	"4"	"100"
"96"	"Housekeeper^Bernice"	"1"	"50517"	"33398"	"32812"	"0"	"0"	"4"	"0"	"4"	"100"
"97"	"Housekeeper^Vevina"	"1"	"50518"	"33458"	"32699"	"0"	"0"	"4"	"0"	"4"	"100"
"98"	"Housekeeper^Beth"	"1"	"50519"	"33397"	"32657"	"0"	"0"	"6"	"0"	"4"	"100"
"99"	"Housekeeper^Sarah"	"1"	"50520"	"33419"	"32708"	"0"	"0"	"4"	"0"	"4"	"100"
"100"	"Housekeeper^Saloma"	"1"	"50521"	"33378"	"32829"	"0"	"0"	"6"	"0"	"4"	"100"
"101"	"Housekeeper^Sigrid"	"1"	"50522"	"33376"	"32874"	"0"	"0"	"6"	"0"	"4"	"100"
"102"	"Housekeeper^Erma"	"1"	"50523"	"33444"	"32871"	"0"	"0"	"6"	"0"	"4"	"100"
"103"	"Housekeeper^Emilia"	"1"	"50524"	"33498"	"32803"	"0"	"0"	"4"	"0"	"4"	"100"
"104"	"Housekeeper^Eulalia"	"1"	"50525"	"33342"	"32711"	"0"	"0"	"6"	"0"	"4"	"100"
"105"	"Housekeeper^Eleanora"	"1"	"50526"	"33362"	"32683"	"0"	"0"	"4"	"0"	"4"	"100"
"106"	"Housekeeper^Emma"	"1"	"50527"	"33373"	"32656"	"0"	"0"	"4"	"0"	"4"	"100"
"107"	"Housekeeper^Osa"	"1"	"50528"	"33425"	"32719"	"0"	"0"	"6"	"0"	"4"	"100"
"108"	"Eve"	"1"	"50529"	"33458"	"32655"	"0"	"0"	"6"	"0"	"4"	"100"
"109"	"Housekeeper^Ione"	"1"	"50530"	"33390"	"32850"	"0"	"0"	"4"	"0"	"4"	"100"
"110"	"Housekeeper^Justine"	"1"	"50531"	"33440"	"32667"	"0"	"0"	"6"	"0"	"4"	"100"
"111"	"Housekeeper^Geraldine"	"1"	"50532"	"33402"	"32793"	"0"	"0"	"4"	"0"	"4"	"100"
"112"	"Housekeeper^Joanna"	"1"	"50533"	"33448"	"32731"	"0"	"0"	"4"	"0"	"4"	"100"
"113"	"Housekeeper^Julia"	"1"	"50534"	"33354"	"32733"	"0"	"0"	"4"	"0"	"4"	"100"
"114"	"Housekeeper^Juliana"	"1"	"50535"	"33383"	"32805"	"0"	"0"	"6"	"0"	"4"	"100"
"115"	"Housekeeper^Jilda"	"1"	"50536"	"33410"	"32676"	"0"	"0"	"6"	"0"	"4"	"100"
"116"	"Housekeeper^Karelia"	"1"	"50537"	"33398"	"32823"	"0"	"0"	"6"	"0"	"4"	"100"
"117"	"Housekeeper^Carmel"	"1"	"50538"	"33472"	"32680"	"0"	"0"	"6"	"0"	"4"	"100"
"118"	"Housekeeper^Karine"	"1"	"50539"	"33436"	"32843"	"0"	"0"	"4"	"0"	"4"	"100"
"119"	"Housekeeper^Catriona"	"1"	"50540"	"33367"	"32715"	"0"	"0"	"6"	"0"	"4"	"100"
"120"	"Housekeeper^Tessa"	"1"	"50541"	"33429"	"32872"	"0"	"0"	"6"	"0"	"4"	"100"
"121"	"Housekeeper^Teodora"	"1"	"50542"	"33404"	"32756"	"0"	"0"	"4"	"0"	"4"	"100"
"122"	"Housekeeper^Tekla"	"1"	"50543"	"33376"	"32699"	"0"	"0"	"6"	"0"	"4"	"100"
"123"	"Housekeeper^Paulina"	"1"	"50544"	"33484"	"32793"	"0"	"0"	"4"	"0"	"4"	"100"
"124"	"Housekeeper^Henrietta"	"1"	"50545"	"33427"	"32658"	"0"	"0"	"6"	"0"	"4"	"100"
"125"	"Housekeeper^Nadine"	"1"	"50546"	"33914"	"33388"	"0"	"0"	"4"	"0"	"4"	"100"
"126"	"Housekeeper^Nash"	"1"	"50547"	"34092"	"33352"	"0"	"0"	"4"	"0"	"4"	"100"
"127"	"Housekeeper^Natalia"	"1"	"50548"	"33899"	"33216"	"0"	"0"	"4"	"0"	"4"	"100"
"128"	"Housekeeper^Nona"	"1"	"50549"	"33931"	"33212"	"0"	"0"	"2"	"0"	"4"	"100"
"129"	"Housekeeper^Nita"	"1"	"50550"	"34042"	"33111"	"0"	"0"	"2"	"0"	"4"	"100"
"130"	"Housekeeper^Diana"	"1"	"50551"	"34125"	"33369"	"0"	"0"	"6"	"0"	"4"	"100"
"131"	"Housekeeper^Doria"	"1"	"50552"	"34041"	"33131"	"0"	"0"	"6"	"0"	"4"	"100"
"132"	"Housekeeper^Dina"	"1"	"50553"	"34105"	"33393"	"0"	"0"	"6"	"0"	"4"	"100"
"133"	"Housekeeper^Levins"	"1"	"50554"	"34061"	"33398"	"0"	"0"	"6"	"0"	"4"	"100"
"134"	"Housekeeper^Lucie"	"1"	"50555"	"34100"	"33112"	"0"	"0"	"6"	"0"	"4"	"100"
"135"	"Housekeeper^Rociri"	"1"	"50556"	"33933"	"33407"	"0"	"0"	"6"	"0"	"4"	"100"
"136"	"Housekeeper^Locis"	"1"	"50557"	"34002"	"33326"	"0"	"0"	"6"	"0"	"4"	"100"
"137"	"Housekeeper^Ressie"	"1"	"50558"	"33964"	"33416"	"0"	"0"	"4"	"0"	"4"	"100"
"138"	"Housekeeper^Lucinda"	"1"	"50559"	"34128"	"33112"	"0"	"0"	"2"	"0"	"4"	"100"
"139"	"Housekeeper^Liz"	"1"	"50560"	"34072"	"33354"	"0"	"0"	"4"	"0"	"4"	"100"
"140"	"Housekeeper^Rija"	"1"	"50561"	"34092"	"33392"	"0"	"0"	"6"	"0"	"4"	"100"
"141"	"Housekeeper^Mariel"	"1"	"50562"	"33933"	"33296"	"0"	"0"	"2"	"0"	"4"	"100"
"142"	"Housekeeper^McCauley"	"1"	"50563"	"34028"	"33110"	"0"	"0"	"2"	"0"	"4"	"100"
"143"	"Housekeeper^Meyo"	"1"	"50564"	"34003"	"33402"	"0"	"0"	"4"	"0"	"4"	"100"
"144"	"Housekeeper^May"	"1"	"50565"	"33897"	"33317"	"0"	"0"	"4"	"0"	"4"	"100"
"145"	"Housekeeper^Mella"	"1"	"50566"	"33977"	"33203"	"0"	"0"	"5"	"0"	"4"	"100"
"146"	"Housekeeper^Morin"	"1"	"50567"	"34144"	"33398"	"0"	"0"	"6"	"0"	"4"	"100"
"147"	"Housekeeper^Mitchel"	"1"	"50568"	"34095"	"33371"	"0"	"0"	"6"	"0"	"4"	"100"
"148"	"Housekeeper^Michelli"	"1"	"50569"	"33956"	"33323"	"0"	"0"	"4"	"0"	"4"	"100"
"149"	"Housekeeper^Mindy"	"1"	"50570"	"34072"	"33381"	"0"	"0"	"4"	"0"	"4"	"100"
"150"	"Housekeeper^Beverly"	"1"	"50571"	"33954"	"33402"	"0"	"0"	"4"	"0"	"4"	"100"
"151"	"Housekeeper^Beth"	"1"	"50572"	"34125"	"33355"	"0"	"0"	"6"	"0"	"4"	"100"
"152"	"Housekeeper^Bella"	"1"	"50573"	"33911"	"33290"	"0"	"0"	"4"	"0"	"4"	"100"
"153"	"Housekeeper^Bonie"	"1"	"50574"	"33890"	"33352"	"0"	"0"	"2"	"0"	"4"	"100"
"154"	"Housekeeper^Bobby"	"1"	"50575"	"34074"	"33397"	"0"	"0"	"6"	"0"	"4"	"100"
"155"	"Housekeeper^Brittainy"	"1"	"50576"	"34158"	"33143"	"0"	"0"	"6"	"0"	"4"	"100"
"156"	"Housekeeper^Bianca"	"1"	"50577"	"33920"	"33295"	"0"	"0"	"2"	"0"	"4"	"100"
"157"	"Housekeeper^Violet"	"1"	"50578"	"33948"	"33307"	"0"	"0"	"6"	"0"	"4"	"100"
"158"	"Housekeeper^Sadie"	"1"	"50579"	"33915"	"33194"	"0"	"0"	"2"	"0"	"4"	"100"
"159"	"Housekeeper^Cellay"	"1"	"50580"	"33890"	"33384"	"0"	"0"	"6"	"0"	"4"	"100"
"160"	"Housekeeper^Celina"	"1"	"50581"	"34125"	"33392"	"0"	"0"	"6"	"0"	"4"	"100"
"161"	"Housekeeper^Sophia"	"1"	"50582"	"33918"	"33408"	"0"	"0"	"4"	"0"	"4"	"100"
"162"	"Housekeeper^Sherrie"	"1"	"50583"	"33895"	"33395"	"0"	"0"	"4"	"0"	"4"	"100"
"163"	"Housekeeper^Sibia"	"1"	"50584"	"33916"	"33398"	"0"	"0"	"4"	"0"	"4"	"100"
"164"	"Housekeeper^Cindy"	"1"	"50585"	"34125"	"33402"	"0"	"0"	"6"	"0"	"4"	"100"
"165"	"Housekeeper^Sylvia"	"1"	"50586"	"34146"	"33166"	"0"	"0"	"4"	"0"	"4"	"100"
"166"	"Housekeeper^Arana"	"1"	"50587"	"34012"	"33373"	"0"	"0"	"4"	"0"	"4"	"100"
"167"	"Housekeeper^Amie"	"1"	"50588"	"34146"	"33372"	"0"	"0"	"6"	"0"	"4"	"100"
"168"	"Housekeeper^Aberi"	"1"	"50589"	"33913"	"33364"	"0"	"0"	"4"	"0"	"4"	"100"
"169"	"Housekeeper^Acacia"	"1"	"50590"	"34059"	"33377"	"0"	"0"	"6"	"0"	"4"	"100"
"170"	"Housekeeper^Angelina"	"1"	"50591"	"33923"	"33303"	"0"	"0"	"6"	"0"	"4"	"100"
"171"	"Housekeeper^Angelica"	"1"	"50592"	"34125"	"33161"	"0"	"0"	"6"	"0"	"4"	"100"
"172"	"Housekeeper^Edie"	"1"	"50593"	"34023"	"33385"	"0"	"0"	"6"	"0"	"4"	"100"
"173"	"Housekeeper^Ebony"	"1"	"50594"	"34105"	"33408"	"0"	"0"	"4"	"0"	"4"	"100"
"174"	"Housekeeper^Angeline"	"1"	"50595"	"34078"	"33372"	"0"	"0"	"4"	"0"	"4"	"100"
"175"	"Housekeeper^Odia"	"1"	"50596"	"34159"	"33403"	"0"	"0"	"6"	"0"	"4"	"100"
"176"	"Housekeeper^Ophelia"	"1"	"50597"	"33904"	"33349"	"0"	"0"	"4"	"0"	"4"	"100"
"177"	"Housekeeper^Wanda"	"1"	"50598"	"33922"	"33327"	"0"	"0"	"6"	"0"	"4"	"100"
"178"	"Housekeeper^Isabelle"	"1"	"50599"	"33940"	"33404"	"0"	"0"	"4"	"0"	"4"	"100"
"179"	"Housekeeper^Genesse"	"1"	"50600"	"33973"	"33273"	"0"	"0"	"4"	"0"	"4"	"100"
"180"	"Housekeeper^Zenith"	"1"	"50601"	"34056"	"33110"	"0"	"0"	"6"	"0"	"4"	"100"
"181"	"Housekeeper^Joanne"	"1"	"50602"	"33906"	"33330"	"0"	"0"	"6"	"0"	"4"	"100"
"182"	"Housekeeper^Judith"	"1"	"50603"	"33985"	"33300"	"0"	"0"	"6"	"0"	"4"	"100"
"183"	"Housekeeper^Chellany"	"1"	"50604"	"34128"	"33130"	"0"	"0"	"6"	"0"	"4"	"100"
"184"	"Housekeeper^Karot"	"1"	"50605"	"33916"	"33373"	"0"	"0"	"2"	"0"	"4"	"100"
"185"	"Housekeeper^Karisha"	"1"	"50606"	"34105"	"33120"	"0"	"0"	"4"	"0"	"4"	"100"
"186"	"Housekeeper^Candice"	"1"	"50607"	"34132"	"33419"	"0"	"0"	"6"	"0"	"4"	"100"
"188"	"Housekeeper^Tamara"	"1"	"50609"	"34142"	"33142"	"0"	"0"	"4"	"0"	"4"	"100"
"189"	"Housekeeper^Teresa"	"1"	"50610"	"33916"	"33229"	"0"	"0"	"2"	"0"	"4"	"100"
"190"	"Housekeeper^Prolance"	"1"	"50611"	"33986"	"33402"	"0"	"0"	"4"	"0"	"4"	"100"
"191"	"Housekeeper^Florina"	"1"	"50612"	"33919"	"33316"	"0"	"0"	"6"	"0"	"4"	"100"
"192"	"Housekeeper^Helena"	"1"	"50613"	"34031"	"33132"	"0"	"0"	"6"	"0"	"4"	"100"
"193"	"Housekeeper^Novita"	"1"	"50614"	"33582"	"33339"	"0"	"0"	"6"	"0"	"4"	"100"
"194"	"Housekeeper^Dain"	"1"	"50615"	"33626"	"33446"	"0"	"0"	"6"	"0"	"4"	"100"
"195"	"Housekeeper^Delia"	"1"	"50616"	"33625"	"33397"	"0"	"0"	"6"	"0"	"4"	"100"
"196"	"Housekeeper^Lorena"	"1"	"50617"	"33583"	"33305"	"0"	"0"	"6"	"0"	"4"	"100"
"197"	"Housekeeper^Morna"	"1"	"50618"	"33619"	"33380"	"0"	"0"	"6"	"0"	"4"	"100"
"198"	"Housekeeper^Miriam"	"1"	"50619"	"33626"	"33225"	"0"	"0"	"6"	"0"	"4"	"100"
"199"	"Housekeeper^Adina"	"1"	"50620"	"33610"	"33218"	"0"	"0"	"6"	"0"	"4"	"100"
"200"	"Housekeeper^Edry"	"1"	"50621"	"33632"	"33247"	"0"	"0"	"6"	"0"	"4"	"100"
"201"	"Housekeeper^Elsha"	"1"	"50622"	"33618"	"33266"	"0"	"0"	"4"	"0"	"4"	"100"
"202"	"Housekeeper^Zenia"	"1"	"50623"	"33629"	"33209"	"0"	"0"	"4"	"0"	"4"	"100"
"203"	"Housekeeper^Triona"	"1"	"50624"	"33576"	"33233"	"0"	"0"	"4"	"0"	"4"	"100"
"207"	"Storage^Karim"	"1"	"60007"	"32617"	"32800"	"0"	"0"	"5"	"0"	"4"	"0"
"208"	"Storage^Karudim"	"1"	"60017"	"33922"	"33345"	"0"	"0"	"4"	"0"	"4"	"100"
"209"	"Storage^Calvas"	"1"	"60018"	"33962"	"33243"	"0"	"0"	"4"	"0"	"4"	"100"
"210"	"Storage^Hakim"	"1"	"60030"	"33601"	"33253"	"0"	"0"	"5"	"0"	"4"	"100"
"211"	"Storage^Hirim"	"1"	"60021"	"34054"	"32287"	"0"	"0"	"5"	"0"	"4"	"100"
"212"	"Storage^Doreen"	"1"	"60001"	"32567"	"32952"	"0"	"0"	"5"	"0"	"0"	"0"
"213"	"Storage^Juke"	"1"	"60016"	"34001"	"33351"	"0"	"0"	"4"	"0"	"4"	"100"
"214"	"Storage^Timpukin"	"1"	"60019"	"34086"	"33144"	"0"	"0"	"4"	"0"	"4"	"100"
"215"	"Storage^Thram"	"1"	"60003"	"33055"	"32788"	"0"	"0"	"5"	"0"	"4"	"0"
"216"	"Storage^Kuhatin"	"1"	"60027"	"32739"	"32441"	"0"	"0"	"5"	"0"	"4"	"100"
"217"	"Storage^Axellon"	"1"	"60013"	"33723"	"32490"	"0"	"0"	"5"	"0"	"4"	"100"
"219"	"Elven Storage^El"	"1"	"60028"	"33067"	"32343"	"0"	"0"	"5"	"0"	"4"	"100"
"220"	"Storage^Chuck"	"1"	"60015"	"32873"	"32535"	"0"	"0"	"4"	"0"	"300"	"0"
"222"	"Storage^Bahof"	"1"	"60002"	"32749"	"32786"	"0"	"0"	"5"	"0"	"15"	"0"
"223"	"Storage^Borgin"	"1"	"60022"	"32749"	"32786"	"0"	"0"	"5"	"0"	"29"	"0"
"225"	"Storage^Tofen"	"1"	"60012"	"32742"	"32815"	"0"	"0"	"7"	"0"	"52"	"0"
"226"	"Storage^Kriom"	"1"	"60014"	"32851"	"32796"	"0"	"0"	"2"	"0"	"66"	"0"
"227"	"Storage^Haidrim"	"1"	"60029"	"32558"	"32847"	"0"	"0"	"7"	"0"	"64"	"0"
"243"	"General Merchant^Pandora"	"1"	"70014"	"32640"	"32949"	"0"	"0"	"4"	"0"	"0"	"0"
"245"	"Merchant^Verita"	"1"	"70033"	"33383"	"32730"	"0"	"0"	"6"	"0"	"4"	"100"
"247"	"General Merchant^Mayer"	"1"	"70030"	"33455"	"32820"	"0"	"0"	"6"	"0"	"4"	"100"
"249"	"General Merchant^Britt"	"1"	"70082"	"33598"	"33273"	"0"	"0"	"4"	"0"	"4"	"100"
"250"	"General Shop"	"1"	"7310078"	"33590"	"33281"	"0"	"0"	"0"	"0"	"4"	"0"
"251"	"Hostel"	"1"	"7310081"	"33590"	"33271"	"0"	"0"	"0"	"0"	"4"	"0"
"252"	"General Merchant^Bius"	"1"	"70063"	"34065"	"32289"	"0"	"0"	"4"	"0"	"4"	"100"
"254"	"General Merchant^Pagoru"	"1"	"70067"	"32790"	"32817"	"0"	"0"	"7"	"0"	"75"	"0"
"255"	"General Merchant^Melissa"	"1"	"70052"	"33927"	"33334"	"0"	"0"	"4"	"0"	"4"	"0"
"256"	"Poition Merchant^Rosen"	"1"	"70049"	"34003"	"33248"	"0"	"0"	"6"	"0"	"4"	"100"
"257"	"General Merchant^Raon"	"1"	"70048"	"34152"	"33124"	"0"	"0"	"4"	"0"	"4"	"100"
"259"	"General Merchant^Catherine"	"1"	"70057"	"34126"	"33149"	"0"	"0"	"6"	"0"	"4"	"100"
"261"	"General Merchant^Ruth"	"1"	"70021"	"32596"	"32743"	"0"	"0"	"4"	"0"	"4"	"100"
"262"	"Merchant^Ysorya"	"1"	"70018"	"33065"	"32733"	"0"	"0"	"4"	"0"	"4"	"100"
"264"	"General Merchant^Ashur"	"1"	"70071"	"32866"	"33250"	"0"	"0"	"5"	"0"	"4"	"100"
"265"	"General Merchant^Jackson"	"1"	"70079"	"32748"	"32432"	"0"	"0"	"5"	"0"	"4"	"100"
"266"	"General Merchant^Berry"	"1"	"70045"	"33739"	"32492"	"0"	"0"	"4"	"0"	"4"	"100"
"268"	"Merchant^Buakheu"	"0"	"70081"	"32799"	"32896"	"0"	"0"	"4"	"0"	"63"	"0"
"288"	"General Merchant^Varyeth"	"1"	"70062"	"32793"	"32811"	"0"	"0"	"7"	"0"	"76"	"0"
"289"	"Spellbook^Kreister"	"1"	"70066"	"32769"	"32852"	"0"	"0"	"3"	"0"	"76"	"0"
"294"	"Firework Merchant^Rika"	"1"	"70050"	"33953"	"33361"	"0"	"0"	"6"	"0"	"4"	"100"
"300"	"Harbor Master^Priece"	"1"	"70011"	"32633"	"32969"	"0"	"0"	"0"	"0"	"0"	"0"
"301"	"Harbor Master^Priece"	"1"	"70022"	"32560"	"32723"	"0"	"0"	"4"	"0"	"4"	"100"
"304"	"Glove Craftsman^Philip"	"1"	"70043"	"33483"	"32779"	"0"	"0"	"4"	"0"	"4"	"100"
"305"	"Cloth Trader^Evert"	"1"	"70038"	"33416"	"32771"	"0"	"0"	"6"	"0"	"4"	"100"
"307"	"Grocery Shop^Sharu"	"1"	"70053"	"34022"	"33112"	"0"	"0"	"4"	"0"	"4"	"100"
"309"	"Grocery Shop^Margaret"	"1"	"70029"	"33449"	"32752"	"0"	"0"	"6"	"0"	"4"	"100"
"313"	"Inn Keeper^Loria"	"1"	"70019"	"32627"	"32758"	"0"	"0"	"4"	"0"	"4"	"100"
"314"	"Inn Keeper^Selena"	"1"	"70012"	"32596"	"32929"	"0"	"0"	"4"	"0"	"0"	"0"
"315"	"Inn Keeper^Sabin"	"1"	"70054"	"33988"	"33311"	"0"	"0"	"5"	"0"	"4"	"100"
"316"	"Inn Keeper^Elly"	"1"	"70084"	"33601"	"33273"	"0"	"0"	"4"	"0"	"4"	"100"
"319"	"Innkeeper^Molly"	"1"	"70031"	"33431"	"32785"	"0"	"0"	"4"	"0"	"4"	"100"
"320"	"Inn Keeper^Enke"	"1"	"70065"	"34062"	"32252"	"0"	"0"	"4"	"0"	"4"	"100"
"333"	"Elven Crafter^Nerupa"	"1"	"70838"	"33079"	"32324"	"0"	"0"	"5"	"0"	"4"	"0"
"334"	"Forest Guardian^Arachne"	"1"	"70846"	"33139"	"32262"	"0"	"0"	"5"	"0"	"4"	"100"
"335"	"Forest Guardian^Arachne"	"1"	"70846"	"33113"	"32241"	"0"	"0"	"5"	"0"	"4"	"100"
"336"	"Forest Guardian^Arachne"	"1"	"70846"	"33086"	"32229"	"0"	"0"	"5"	"0"	"4"	"100"
"337"	"Forest Guardian^Arachne"	"1"	"70846"	"33063"	"32232"	"0"	"0"	"5"	"0"	"4"	"100"
"338"	"Forest Guardian^Arachne"	"1"	"70846"	"33057"	"32266"	"0"	"0"	"5"	"0"	"4"	"100"
"339"	"Forest Guardian^Arachne"	"1"	"70846"	"33087"	"32297"	"0"	"0"	"5"	"0"	"4"	"100"
"340"	"Forest Guardian^Arachne"	"1"	"70846"	"33098"	"32354"	"0"	"0"	"5"	"0"	"4"	"100"
"341"	"Forest Guardian^Arachne"	"1"	"70846"	"33110"	"32386"	"0"	"0"	"5"	"0"	"4"	"100"
"342"	"Forest Guardian^Arachne"	"1"	"70846"	"33086"	"32400"	"0"	"0"	"5"	"0"	"4"	"100"
"343"	"Forest Guardian^Arachne"	"1"	"70846"	"33053"	"32389"	"0"	"0"	"5"	"0"	"4"	"100"
"344"	"Forest Guardian^Pan"	"1"	"70850"	"33009"	"32403"	"0"	"0"	"5"	"0"	"4"	"100"
"345"	"Forest Guardian^Pan"	"1"	"70850"	"32987"	"32378"	"0"	"0"	"5"	"0"	"4"	"100"
"346"	"Forest Guardian^Pan"	"1"	"70850"	"32971"	"32350"	"0"	"0"	"5"	"0"	"4"	"100"
"347"	"Forest Guardian^Pan"	"1"	"70850"	"33004"	"32327"	"0"	"0"	"5"	"0"	"4"	"100"
"348"	"Forest Guardian^Pan"	"1"	"70850"	"33031"	"32306"	"0"	"0"	"5"	"0"	"4"	"100"
"349"	"Forest Guardian^Pan"	"1"	"70850"	"33014"	"32273"	"0"	"0"	"5"	"0"	"4"	"100"
"350"	"Forest Guardian^Pan"	"1"	"70850"	"33042"	"32263"	"0"	"0"	"5"	"0"	"4"	"100"
"351"	"Forest Guardian^Pan"	"1"	"70850"	"33070"	"32262"	"0"	"0"	"5"	"0"	"4"	"100"
"352"	"Forest Guardian^Pan"	"1"	"70850"	"33103"	"32294"	"0"	"0"	"5"	"0"	"4"	"100"
"353"	"Forest Guardian^Pan"	"1"	"70850"	"33155"	"32328"	"0"	"0"	"5"	"0"	"4"	"100"
"357"	"Forest Guardian^Fairy"	"1"	"70851"	"33166"	"32275"	"0"	"0"	"5"	"0"	"4"	"100"
"358"	"Forest Guardian^Fairy"	"1"	"70851"	"33172"	"32283"	"0"	"0"	"5"	"0"	"4"	"100"
"359"	"Forest Guardian^Fairy"	"1"	"70851"	"33165"	"32290"	"0"	"0"	"5"	"0"	"4"	"100"
"360"	"Forest Guardian^Fairy"	"1"	"70851"	"33158"	"32283"	"0"	"0"	"5"	"0"	"4"	"100"
