"mapid"	"locationname"	"desc_kr"	"startX"	"endX"	"startY"	"endY"	"monster_amount"	"drop_rate"	"underwater"	"markable"	"teleportable"	"escapable"	"resurrection"	"painwand"	"penalty"	"take_pets"	"recall_pets"	"usable_item"	"usable_skill"	"dungeon"	"dmgModiPc2Npc"	"dmgModiNpc2Pc"	"decreaseHp"	"dominationTeleport"	"beginZone"	"redKnightZone"	"ruunCastleZone"	"interWarZone"	"geradBuffZone"	"growBuffZone"	"interKind"	"script"	"cloneStart"	"cloneEnd"	"pngId"
"19"	"Elven Dungeon 1F"	"요정숲 던전 1층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16179"
"20"	"Elven Dungeon 2F"	"요정숲 던전 2층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16180"
"21"	"Elven Dungeon 3F"	"요정숲 던전 3층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16181"
"22"	"Gerard Test Dungeon"	"게라드 시험 던전"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"23"	"Windawood Castle Dungeon"	"윈다우드 성 던전 1층"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"24"	"Windawood Castle Dungeon"	"윈다우드 성 던전 2층"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"25"	"Silver Knight Dungeon 1F (OLD)"	"수련 던전 1층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"26"	"Silver Knight Dungeon 2F (OLD)"	"수련 던전 2층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"27"	"Silver Knight Dungeon 3F (OLD)"	"수련 던전 3층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"28"	"Silver Knight Dungeon 4F (OLD)"	"수련 던전 4층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"29"	"Windawood Inner Castle"	"윈다우드 내성"	"32704"	"32767"	"32768"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"30"	"Dragon Valley Dungeon 1F"	"용의 계곡 던전 1층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16186"
"31"	"Dragon Valley Dungeon 2F"	"용의 계곡 던전 2층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16187"
"32"	"Dragon Valley Dungeon 3F"	"용의 계곡 던전 3층"	"32576"	"32831"	"32704"	"32959"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16188"
"33"	"Dragon Valley Dungeon 4F"	"용의 계곡 던전 4층"	"32576"	"32831"	"32704"	"32959"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16189"
"34"	"Hall of Fame"	"명예의 전당"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"35"	"Dragon Valley Dungeon 5F"	"용의 계곡 던전 5층"	"32576"	"32831"	"32704"	"32959"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16190"
"36"	"Dragon Valley Dungeon 6F"	"용의 계곡 던전 6층"	"32576"	"32831"	"32704"	"32959"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16191"
"37"	"Dragon Valley Dungeon 7F"	"용의 계곡 던전 7층"	"32576"	"32831"	"32704"	"32959"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16192"
"38"	"The Doll Race"	"인형의 경주"	"32640"	"32831"	"32704"	"32895"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"		"0"	"0"	"20499"
"39"	"Hall of Fame"	"명예의 전당"	"32704"	"32767"	"32768"	"32831"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"40"	"Hall of Fame"	"명예의 전당"	"32704"	"32767"	"32768"	"32831"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"41"	"Hall of Fame"	"명예의 전당"	"32704"	"32767"	"32768"	"32831"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"43"	"Ant Caves"	"개미 던전"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"44"	"Ant Caves"	"개미 던전"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"45"	"Ant Caves"	"개미 던전"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"46"	"Ant Caves"	"개미 던전"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"47"	"Ant Caves"	"개미 던전"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"48"	"Ant Caves"	"개미 던전"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"49"	"Ant Caves"	"개미 던전"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"50"	"Ant Caves"	"개미 던전"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"51"	"Ant Caves"	"여왕개미 던전"	"32640"	"32831"	"32704"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"52"	"Giran Inner Castle"	"기란 내성"	"32640"	"32767"	"32768"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"10221"
"53"	"Giran Prison 1F"	"기란 감옥 1층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16193"
"54"	"Giran Prison 2F"	"기란 감옥 2층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"54map_disable"	"0"	"0"	"16194"
"55"	"Giran Prison  3F"	"기란 감옥 3층"	"32640"	"32831"	"32704"	"32959"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"56"	"Giran Prison 4F"	"기란 감옥 4층"	"32640"	"32895"	"32640"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"57"	"Singing Island"	"이름 없음(이벤트)"	"32576"	"33023"	"32512"	"32959"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"58"	"Hidden Valley"	"숨겨진 계곡"	"32512"	"32831"	"32704"	"33023"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"59"	"Heine Dungeon 1F"	"에바왕국 던전 1층"	"32640"	"32831"	"32768"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"22973"
"60"	"Heine Dungeon 2F"	"에바왕국 던전 2층"	"32640"	"32767"	"32768"	"32959"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"22974"
"61"	"Heine Dungeon 3F"	"에바왕국 던전 3층"	"32640"	"32767"	"32768"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"22975"
"62"	"Hidden Heine Dungeon"	"숨겨진 에바 왕국 수로"	"32640"	"32959"	"32768"	"33087"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"23005"
"63"	"Kingdom of Eva"	"에바왕국 던전 4층"	"32576"	"32895"	"32640"	"33279"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"23220"
"64"	"Heine Castle"	"하이네 내성"	"32512"	"32639"	"32768"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"10224"
"65"	"Lair of Fafurion"	"파푸리온의 둥지"	"32704"	"32831"	"32768"	"32895"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"66"	"Iron Gate Guild Inner Castle (doesn't work)"	"드워프 성"	"32704"	"32895"	"32768"	"32959"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"67"	"Lair of Valakas"	"발라카스의 둥지"	"32640"	"32831"	"32704"	"32895"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"68"	"Singing Island (doesn't work)"	"노래하는 섬 (한국)"	"32576"	"33023"	"32512"	"32959"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"69"	"Hidden Valley (doesn't work)"	"숨겨진 계곡 (한국)"	"32512"	"32831"	"32704"	"33023"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"70"	"Forgotten Island"	"잊혀진 섬 로컬"	"32576"	"33023"	"32640"	"33087"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"23209"
"72"	"Crystal Cavern 1F (empty)"	"수정 동굴 1층"	"32704"	"32895"	"32768"	"32895"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"73"	"Crystal Cavern 2F (empty)"	"수정 동굴 2층"	"32704"	"32895"	"32704"	"32895"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"74"	"Crystal Cavern 3F (empty)"	"수정 동굴 3층"	"32704"	"32895"	"32768"	"32959"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"75"	"Ivory Tower 1F"	"상아탑 1층"	"32704"	"32831"	"32768"	"32959"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16200"
"76"	"Ivory Tower 2F"	"상아탑 2층"	"32704"	"32831"	"32768"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16201"
"77"	"Ivory Tower 3F"	"상아탑 3층"	"32704"	"32831"	"32768"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16202"
"78"	"Ivory Tower 4F"	"상아탑 4층"	"32832"	"32959"	"32704"	"32831"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"79"	"Ivory Tower 5F"	"상아탑 5층"	"32704"	"32831"	"32768"	"32895"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"80"	"Ivory Tower 6F"	"상아탑 6층"	"32704"	"32831"	"32768"	"32895"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"81"	"Ivory Tower 7F"	"상아탑 7층"	"32704"	"32831"	"32768"	"32895"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"82"	"Ivory Tower 8F"	"상아탑 8층"	"32640"	"32767"	"32768"	"32895"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"83"	"Aden Mainland Ship to Forgotten Island"	"본토 → 잊섬 배"	"32704"	"32831"	"32768"	"32831"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"23210"
