"npcid"	"classId"	"desc_en"	"desc_powerbook"	"desc_kr"	"desc_id"	"note"	"impl"	"spriteId"	"lvl"	"hp"	"mp"	"ac"	"str"	"con"	"dex"	"wis"	"intel"	"mr"	"exp"	"alignment"	"big"	"weakAttr"	"ranged"	"is_taming"	"passispeed"	"atkspeed"	"atk_magic_speed"	"sub_magic_speed"	"undead"	"poison_atk"	"is_agro"	"is_agro_poly"	"is_agro_invis"	"family"	"agrofamily"	"agrogfxid1"	"agrogfxid2"	"is_picupitem"	"digestitem"	"is_bravespeed"	"hprinterval"	"hpr"	"mprinterval"	"mpr"	"is_teleport"	"randomlevel"	"randomhp"	"randommp"	"randomac"	"randomexp"	"randomAlign"	"damage_reduction"	"is_hard"	"is_bossmonster"	"can_turnundead"	"bowSpritetId"	"karma"	"transform_id"	"transform_gfxid"	"light_size"	"is_amount_fixed"	"is_change_head"	"spawnlist_door"	"count_map"	"cant_resurrect"	"isHide"
"204"	"0"	"Crack of Time"	""	"시간의 균열"	"$5656"	"crack 5"	"L1Npc"	"6920"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"true"	"NONE"	"0"	"false"	"0"	"0"	"0"	"0"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"14"	"false"	"false"	"0"	"0"	"false"	"false"
"205"	"0"	"Thebes Osiris' Altar Gatekeeper"	""	"테베 오시리스의 제단 문지기"	"$6077"	"Thebes gatekeeper"	"L1Merchant"	"6992"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"NONE"	"0"	"false"	"0"	"0"	"0"	"0"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"14"	"false"	"false"	"0"	"0"	"false"	"false"
"206"	"0"	"Crack of Time"	""	"시간의 균열"	"$5656"	"crack 6"	"L1Npc"	"6920"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"true"	"NONE"	"0"	"false"	"0"	"0"	"0"	"0"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"14"	"false"	"false"	"0"	"0"	"false"	"false"
"207"	"0"	"Crack of Time"	""	"시간의 균열"	"$5656"	"crack 7"	"L1Npc"	"6920"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"true"	"NONE"	"0"	"false"	"0"	"0"	"0"	"0"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"14"	"false"	"false"	"0"	"0"	"false"	"false"
"208"	"0"	"Crack of Time"	""	"시간의 균열"	"$5656"	"crack8"	"L1Npc"	"6920"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"true"	"NONE"	"0"	"false"	"0"	"0"	"0"	"0"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"14"	"false"	"false"	"0"	"0"	"false"	"false"
"300"	"0"	"Experience Ogre"	""	"경험치 오우거"	"$41427"	"experience test"	"L1Monster"	"16145"	"10"	"10"	"10"	"-10"	"10"	"10"	"10"	"10"	"10"	"10"	"399000"	"-10"	"true"	"NONE"	"2"	"false"	"960"	"1280"	"1460"	"1460"	"NONE"	"NONE"	"true"	"true"	"true"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"507"	"10857"	"Woodcarving Magic Doll"	""	"목각 마법인형"	"$21344"	""	"L1Doll"	"12539"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"508"	"10855"	"Lava Golem Magic Doll"	""	"라바 골렘 마법인형"	"$21345"	""	"L1Doll"	"13573"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"509"	"10856"	"Diamond Golem Magic Doll"	""	"다이아몬드 골렘 마법인형"	"$21346"	""	"L1Doll"	"13577"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"510"	"10754"	"Knightvald Magic Doll"	""	"나이트발드 마법인형"	"$20888"	""	"L1Doll"	"13516"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"511"	"10756"	"Seer Magic Doll"	""	"시어 마법인형"	"$20890"	""	"L1Doll"	"13524"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"512"	"10753"	"Demon Magic Doll"	""	"데몬 마법인형"	"$20887"	""	"L1Doll"	"13464"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"513"	"10755"	"Death Knight Magic Doll"	""	"데스나이트 마법인형"	"$20889"	""	"L1Doll"	"13520"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"514"	"13640"	"Mummy Lord Magic Doll"	""	"머미로드 마법인형"	"$25031"	""	"L1Doll"	"14536"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"515"	"13641"	"Fallen Magic Doll"	""	"타락 마법인형"	"$25032"	""	"L1Doll"	"15260"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"516"	"13151"	"Jade Rabbit Magic Doll"	""	"옥토끼 마법인형"	"$25363"	""	"L1Doll"	"14303"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"517"	"13934"	"Baphomet Magic Doll"	""	"바포메트 마법인형"	"$25697"	""	"L1Doll"	"15975"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"518"	"13935"	"Ice Queen Magic Doll"	""	"얼음여왕 마법인형"	"$25698"	""	"L1Doll"	"15969"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"519"	"13936"	"Kurtz Magic Doll"	""	"커츠 마법인형"	"$25699"	""	"L1Doll"	"15978"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"520"	"10759"	"Antharas Magic Doll"	""	"안타라스 마법인형"	"$20893"	""	"L1Doll"	"12604"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"521"	"10760"	"Fafurion Magic Doll"	""	"파푸리온 마법인형"	"$20894"	""	"L1Doll"	"12628"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"522"	"10757"	"Lindvior Magic Doll"	""	"린드비오르 마법인형"	"$20891"	""	"L1Doll"	"12620"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"523"	"10758"	"Valakas Magic Doll"	""	"발라카스 마법인형"	"$20892"	""	"L1Doll"	"12624"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"754"	"16930"	"Golden Bugbear Magic Doll"	""	"황금 버그베어 마법인형"	"$30399"	""	"L1Doll"	"18335"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"756"	"17294"	"Lucky Owl Magic Doll"	""	"부엉이 마법인형"	"$31422"	""	"L1Doll"	"18716"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"757"	"0"	"Legendary Doll: Dragon Slayer"	""	"전설인형: 드래곤 슬레이어"	"$31523"	""	"L1Doll"	"18953"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"775"	"14681"	"Reaper of True Death Knight Magic Doll"	""	"진 데스나이트의 사신 마법인형"	"$28465"	""	"L1Doll"	"11316"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"776"	"18079"	"Halpas Magic Doll"	""	"할파스 마법인형"	"$34851"	""	"L1Doll"	"19944"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"777"	"18080"	"Aurakia Magic Doll"	""	"아우라키아 마법인형"	"$34852"	""	"L1Doll"	"19948"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"778"	"18081"	"Behemoth Magic Doll"	""	"베히모스 마법인형"	"$34853"	""	"L1Doll"	"20034"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"1000"	"0"	"Teleporter^Lupine"	""	"텔레포터^루핀"	"$24825"	"Talking Island Dungeon Teleport"	"L1Merchant"	"5955"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"NONE"	"0"	"false"	"0"	"0"	"0"	"0"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"13"	"false"	"false"	"0"	"0"	"false"	"false"
"2500"	"16673"	"Giant Magic Doll"	""	"자이언트 마법인형"	"$20465"	"axis doll"	"L1Doll"	"17663"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
"2501"	"16672"	"Black Elder Magic Doll"	""	"흑장로 마법인형"	"$20475"	"axis doll"	"L1Doll"	"17662"	"37"	"400"	"250"	"-25"	"15"	"15"	"18"	"25"	"18"	"100"	"0"	"-40"	"false"	"NONE"	"0"	"false"	"496"	"0"	"1000"	"1000"	"NONE"	"NONE"	"false"	"false"	"false"	""	"0"	"-1"	"-1"	"false"	"0"	"false"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"false"	"false"	"0"	"0"	"-1"	"0"	"0"	"false"	"false"	"0"	"0"	"false"	"false"
