"item_id"	"item_name_id"	"desc_kr"	"desc_en"	"desc_powerbook"	"note"	"desc_id"	"itemGrade"	"type"	"grade"	"material"	"weight"	"iconId"	"spriteId"	"ac"	"ac_sub"	"safenchant"	"use_royal"	"use_knight"	"use_mage"	"use_elf"	"use_darkelf"	"use_dragonknight"	"use_illusionist"	"use_warrior"	"use_fencer"	"use_lancer"	"add_str"	"add_con"	"add_dex"	"add_int"	"add_wis"	"add_cha"	"add_hp"	"add_mp"	"add_hpr"	"add_mpr"	"add_sp"	"min_lvl"	"max_lvl"	"m_def"	"haste_item"	"carryBonus"	"hit_rate"	"dmg_rate"	"bow_hit_rate"	"bow_dmg_rate"	"bless"	"trade"	"retrieve"	"specialretrieve"	"retrieveEnchant"	"cant_delete"	"cant_sell"	"max_use_time"	"defense_water"	"defense_wind"	"defense_fire"	"defense_earth"	"attr_all"	"regist_stone"	"regist_sleep"	"regist_freeze"	"regist_blind"	"regist_skill"	"regist_spirit"	"regist_dragon"	"regist_fear"	"regist_all"	"hitup_skill"	"hitup_spirit"	"hitup_dragon"	"hitup_fear"	"hitup_all"	"hitup_magic"	"damage_reduction"	"MagicDamageReduction"	"reductionEgnor"	"reductionPercent"	"PVPDamage"	"PVPDamageReduction"	"PVPDamageReductionPercent"	"PVPMagicDamageReduction"	"PVPReductionEgnor"	"PVPMagicDamageReductionEgnor"	"abnormalStatusDamageReduction"	"abnormalStatusPVPDamageReduction"	"PVPDamagePercent"	"expBonus"	"rest_exp_reduce_efficiency"	"shortCritical"	"longCritical"	"magicCritical"	"addDg"	"addEr"	"addMe"	"poisonRegist"	"imunEgnor"	"stunDuration"	"tripleArrowStun"	"strangeTimeIncrease"	"strangeTimeDecrease"	"potionRegist"	"potionPercent"	"potionValue"	"hprAbsol32Second"	"mprAbsol64Second"	"mprAbsol16Second"	"hpPotionDelayDecrease"	"hpPotionCriticalProb"	"increaseArmorSkillProb"	"attackSpeedDelayRate"	"moveSpeedDelayRate"	"MainId"	"MainId2"	"MainId3"	"Set_Id"	"polyDescId"	"Magic_name"
"20008"	"662"	"낡은 바람의 투구"	"Old Helm of Wind"	""	""	"$1941"	"NORMAL"	"HELMET"	"-1"	"LEATHER(가죽)"	"50000"	"895"	"18131"	"-1"	"0"	"4"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"20009"	"555"	"데몬의 투구"	"Demon Helm"	""	""	"$1808"	"NORMAL"	"HELMET"	"-1"	"IRON(철)"	"50000"	"714"	"18131"	"-2"	"0"	"4"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"20099"	"0"	"0"	"1"	"0"	
"20010"	"559"	"데스나이트의 투구"	"Death Knight Helmet"	""	""	"$1812"	"NORMAL"	"HELMET"	"-1"	"IRON(철)"	"50000"	"7876"	"18131"	"-3"	"0"	"4"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"20100"	"0"	"0"	"2"	"0"	
"20011"	"229"	"마법 방어 투구"	"Helmet of Magic Resistance"	""	""	"$569"	"NORMAL"	"HELMET"	"-1"	"IRON(철)"	"35000"	"1204"	"18131"	"-2"	"0"	"4"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"20012"	"385"	"마법사의 모자"	"Wizard Cap"	""	""	"$1206"	"NORMAL"	"HELMET"	"-1"	"CLOTH(천)"	"20000"	"526"	"18131"	"-2"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"20111"	"0"	"0"	"39"	"0"	
"20013"	"291"	"마법의 투구: 신속"	"Helm of Magic: Speed"	""	""	"$939"	"NORMAL"	"HELMET"	"-1"	"MITHRIL(미스릴)"	"50000"	"168"	"18131"	"-1"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"20014"	"292"	"마법의 투구: 치유"	"Helm of Magic: Healing"	""	""	"$938"	"NORMAL"	"HELMET"	"-1"	"MITHRIL(미스릴)"	"50000"	"167"	"18131"	"-1"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"20015"	"293"	"마법의 투구: 힘"	"Helm of Magic: Power"	""	""	"$940"	"NORMAL"	"HELMET"	"-1"	"MITHRIL(미스릴)"	"50000"	"170"	"18131"	"-1"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"20016"	"1287"	"맘보 모자"	"Mambo Hat"	""	""	"$3252"	"NORMAL"	"HELMET"	"-1"	"LEATHER(가죽)"	"10000"	"1628"	"18131"	"1"	"0"	"4"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"20017"	"1123"	"\aF머미로드의 왕관"	"\aFCrown of Mummy Lord"	""	""	"$3022"	"NORMAL"	"HELMET"	"-1"	"GOLD(금)"	"20000"	"1420"	"18192"	"-2"	"0"	"6"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"20018"	"982"	"메르키오르의 모자"	"Cap of Melchior"	""	""	"$2748"	"NORMAL"	"HELMET"	"-1"	"CLOTH(천)"	"20000"	"1233"	"18131"	"-2"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"20019"	"139"	"면류관"	"Crown"	""	""	"$413"	"NORMAL"	"HELMET"	"-1"	"GOLD(금)"	"30000"	"184"	"462"	"-3"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"20020"	"1758"	"무관의 투구"	"Helm of Pretender King"	""	""	"$3842"	"NORMAL"	"HELMET"	"-1"	"METAL(금속)"	"45000"	"1896"	"18131"	"-2"	"0"	"6"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	"0"	"0"	"0"	"40"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
