"mobId"	"mobname_kr"	"mobname_en"	"moblevel"	"itemId"	"itemname_kr"	"itemname_en"	"min"	"max"	"chance"	"Enchant"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"0"	"203062"	"차원의 도끼"	"Dimensional Axe"	"1"	"1"	"100"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"0"	"810015"	"오림의 장신구 마법 주문서 상자"	"Orim Ornament Magic Scroll Box"	"1"	"4"	"1000000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"65"	"820018"	"퓨어 엘릭서"	"Pure Elixir"	"1"	"1"	"5000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"65"	"3000028"	"할파스의 집념"	"Halpas Obession"	"14"	"24"	"30000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"0"	"3012"	"창술서 (뱅가드)"	"Spear Technique (Vanguard)"	"1"	"1"	"1000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"65"	"22360"	"지휘관의 투구"	"Helm of the Commander"	"1"	"1"	"300"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"0"	"37047"	"지휘관의 투구 (소생)"	"Helm of the Commander (Revival)"	"1"	"1"	"1000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"65"	"40074"	"갑옷 마법 주문서"	"Armor Enchant Scroll"	"1"	"3"	"10000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"65"	"40087"	"무기 마법 주문서"	"Scroll of Enchant Weapon"	"1"	"3"	"10000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"0"	"40308"	"아데나"	"Adena"	"2467"	"6427"	"1000000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"0"	"41442"	"정령의 수정 (파인 사이트)"	"\aESpirit Crystal (Fine Sight)"	"1"	"1"	"200"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"0"	"43013"	"마법서 (메디테이션: 비욘드)"	"Spellbook (Meditation: Beyond)"	"1"	"1"	"300"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"0"	"43300"	"용맹의 메달"	"Medal of Valor"	"5"	"14"	"100000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"65"	"140074"	"갑옷 마법 주문서"	"Armor Enchant Scroll"	"1"	"1"	"5000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"65"	"140087"	"무기 마법 주문서"	"Scroll of Enchant Weapon"	"1"	"1"	"5000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"65"	"203017"	"섬멸자의 체인소드"	"\f4Annihilator Chainsword"	"1"	"1"	"100"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"0"	"203062"	"차원의 도끼"	"Dimensional Axe"	"1"	"1"	"100"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"0"	"810015"	"오림의 장신구 마법 주문서 상자"	"Orim Ornament Magic Scroll Box"	"1"	"4"	"1000000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"65"	"820018"	"퓨어 엘릭서"	"Pure Elixir"	"1"	"1"	"10000"	"0"
"5020"	"광풍의 샤스키"	"Shasky the Mad Wind"	"65"	"3000028"	"할파스의 집념"	"Halpas Obession"	"14"	"24"	"30000"	"0"
"5021"	"포노스 오크 검병"	"Phonos Orc Swordsman"	"50"	"31"	"장검"	"Long Sword"	"1"	"1"	"3000"	"0"
"5021"	"포노스 오크 검병"	"Phonos Orc Swordsman"	"50"	"7022"	"포노스의 토템"	"Phonos Totem"	"1"	"1"	"30000"	"0"
"5021"	"포노스 오크 검병"	"Phonos Orc Swordsman"	"50"	"20168"	"무관의장갑"	"Gloves of Pretender King"	"1"	"1"	"100"	"0"
"5021"	"포노스 오크 검병"	"Phonos Orc Swordsman"	"50"	"20304"	"화령의반지"	"Ring of Fire Resistance"	"1"	"1"	"100"	"0"
"5021"	"포노스 오크 검병"	"Phonos Orc Swordsman"	"11"	"37067"	"투사의 목걸이 (소생)"	"Warrior's Necklace (Revival)"	"1"	"1"	"50"	"0"
"5021"	"포노스 오크 검병"	"Phonos Orc Swordsman"	"50"	"40308"	"아데나"	"Adena"	"182"	"674"	"100000"	"0"
"5021"	"포노스 오크 검병"	"Phonos Orc Swordsman"	"50"	"222304"	"포노스 투사의 목걸이"	"Warrior's Necklace"	"1"	"1"	"10"	"0"
"5021"	"포노스 오크 검병"	"Phonos Orc Swordsman"	"50"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1400"	"0"
"5022"	"포노스 오크 도끼병"	"Phonos Orc Axeman"	"52"	"146"	"모닝스타"	"Morning Star"	"1"	"1"	"2000"	"0"
"5022"	"포노스 오크 도끼병"	"Phonos Orc Axeman"	"52"	"7022"	"포노스 토템"	"Phonos Totem"	"1"	"1"	"30000"	"0"
"5022"	"포노스 오크 도끼병"	"Phonos Orc Axeman"	"52"	"20201"	"무관의 부츠"	"Boots of Pretender King"	"1"	"1"	"200"	"0"
"5022"	"포노스 오크 도끼병"	"Phonos Orc Axeman"	"52"	"20304"	"화령의 반지"	"Ring of Fire Resistance"	"1"	"1"	"100"	"0"
"5022"	"포노스 오크 도끼병"	"Phonos Orc Axeman"	"52"	"37067"	"투사의 목걸이 (소생)"	"Warrior's Necklace (Revival)"	"1"	"1"	"50"	"0"
"5022"	"포노스 오크 도끼병"	"Phonos Orc Axeman"	"52"	"40013"	"속도 향상 물약"	"Haste Potion"	"1"	"1"	"3500"	"0"
"5022"	"포노스 오크 도끼병"	"Phonos Orc Axeman"	"0"	"40269"	"흑정령의 수정(드레스 마이티)"	"Dark Spirit Crystal (Dress Mighty)"	"1"	"1"	"600"	"0"
"5022"	"포노스 오크 도끼병"	"Phonos Orc Axeman"	"52"	"40308"	"아데나"	"Adena"	"182"	"674"	"100000"	"0"
"5022"	"포노스 오크 도끼병"	"Phonos Orc Axeman"	"52"	"222304"	"포노스 투사의 목걸이"	"Warrior's Necklace"	"1"	"1"	"10"	"0"
"5022"	"포노스 오크 도끼병"	"Phonos Orc Axeman"	"0"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1500"	"0"
"5023"	"포노스 오크 궁병"	"Phonos Orc Archer"	"52"	"168"	"어둠의 활"	"Dark Crossbow"	"1"	"1"	"800"	"0"
"5023"	"포노스 오크 궁병"	"Phonos Orc Archer"	"52"	"7022"	"포노스 토템"	"Phonos Totem"	"1"	"1"	"30000"	"0"
"5023"	"포노스 오크 궁병"	"Phonos Orc Archer"	"52"	"20067"	"신관의 망토"	"Cloak of New King"	"1"	"1"	"200"	"0"
"5023"	"포노스 오크 궁병"	"Phonos Orc Archer"	"52"	"20304"	"화령의 반지"	"Ring of Fire Resistance"	"1"	"1"	"100"	"0"
"5023"	"포노스 오크 궁병"	"Phonos Orc Archer"	"52"	"40013"	"속도 향상 물약"	"Haste Potion"	"1"	"1"	"3500"	"0"
"5023"	"포노스 오크 궁병"	"Phonos Orc Archer"	"52"	"40068"	"엘븐 와퍼"	"Elven Wafer"	"1"	"1"	"2500"	"0"
"5023"	"포노스 오크 궁병"	"Phonos Orc Archer"	"52"	"40308"	"아데나"	"Adena"	"182"	"674"	"100000"	"0"
"5023"	"포노스 오크 궁병"	"Phonos Orc Archer"	"52"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1500"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"52"	"129"	"마법사의 지팡이"	"Wizard's Staff"	"1"	"1"	"2500"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"52"	"7022"	"포노스 토템"	"Phonos Totem"	"1"	"1"	"30000"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"52"	"20129"	"신관의 로브"	"Robe of New King"	"1"	"1"	"200"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"52"	"20233"	"신관의 마력서"	"Scroll of New King"	"1"	"1"	"200"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"52"	"20266"	"지식의 목걸이"	"Amulet of Intelligence"	"1"	"1"	"200"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"52"	"20304"	"화령의 반지"	"Ring of Fire Resistance"	"1"	"1"	"100"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"0"	"40013"	"속도 향상 물약"	"Haste Potion"	"1"	"1"	"3500"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"0"	"40015"	"마나 회복 물약"	"Mana Potion"	"1"	"1"	"1500"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"0"	"40092"	"빈 주문서 3"	"Blank Scroll (Lv 3)"	"1"	"1"	"3000"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"0"	"40224"	"마법서 (어드밴스 스피릿)"	"Spellbook (Advanced Spirit)"	"1"	"1"	"50"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"52"	"40308"	"아데나"	"Adena"	"182"	"674"	"100000"	"0"
"5024"	"포노스 오크 주술사"	"Phonos Orc Shaman"	"52"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1500"	"0"
"5026"	"돌 골렘"	"Golem"	"53"	"22261"	"돌 장갑"	"Stone Gloves"	"1"	"1"	"100"	"0"
"5026"	"돌 골렘"	"Golem"	"53"	"40190"	"마법서 (이럽션)"	"Spellbook (Eruption)"	"1"	"1"	"1500"	"0"
"5026"	"돌 골렘"	"Golem"	"53"	"40249"	"정령의 수정 (어스 바인드)"	"Spirit Crystal (Earth Bind)"	"1"	"1"	"50"	"0"
"5026"	"돌 골렘"	"Golem"	"53"	"40250"	"정령의 수정 (어스 가디언)"	"Spirit Crystal (Earth Guardian)"	"1"	"1"	"3000"	"0"
"5026"	"돌 골렘"	"Golem"	"53"	"40308"	"아데나"	"Adena"	"200"	"200"	"100000"	"0"
"5026"	"돌 골렘"	"Golem"	"53"	"40317"	"숫돌"	"Whetstone"	"1"	"1"	"30000"	"0"
"5026"	"골렘"	"Golem"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5026"	"돌 골렘"	"Golem"	"53"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1500"	"0"
"5027"	"광폭한 늑대"	"Ferocious Wolf"	"48"	"40308"	"아데나"	"Adena"	"200"	"300"	"100000"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"55"	"129"	"마법사의 지팡이"	"Wizard's Staff"	"1"	"1"	"1500"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"55"	"132"	"신관의 지팡이"	"Priest's Staff"	"1"	"1"	"500"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"55"	"20014"	"마법의 투구(치유)"	"Helm of Magic: Healing"	"1"	"1"	"1000"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"55"	"40015"	"마나 회복 물약"	"Mana Potion"	"1"	"1"	"1000"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"0"	"40090"	"빈 주문서 1"	"Blank Scroll (Level 1)"	"1"	"1"	"1500"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"0"	"40184"	"마법서 (마나 드레인)"	"Spellbook (Mana Drain)"	"1"	"1"	"200"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"55"	"40308"	"아데나"	"Adena"	"35"	"174"	"100000"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"0"	"40408"	"철괴"	"Lump of Iron"	"1"	"5"	"2000"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"0"	"40468"	"은원석 조각"	"Rough Silver Piece"	"1"	"1"	"1000"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"0"	"40899"	"강철 원석"	"Lump of Rough Iron"	"1"	"1"	"1000"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5029"	"드워프 주술사"	"Dwarf Shaman"	"55"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1000"	"0"
"5030"	"늑대인간"	"Werewolf"	"52"	"102"	"루선해머"	"Lucern Hammer"	"1"	"1"	"10000"	"0"
"5030"	"늑대인간"	"Werewolf"	"52"	"20122"	"비늘 갑옷"	"Scale Mail"	"1"	"1"	"10000"	"0"
"5030"	"늑대인간"	"Werewolf"	"52"	"40308"	"아데나"	"Adena"	"200"	"300"	"100000"	"0"
"5031"	"라이칸스로프"	"Lycanthrope"	"57"	"40087"	"무기 마법 주문서"	"Scroll of Enchant Weapon"	"1"	"1"	"300"	"0"
"5031"	"라이칸스로프"	"Lycanthrope"	"57"	"40308"	"아데나"	"Adena"	"200"	"300"	"100000"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"52"	"29"	"은장검"	"Silver Long Sword"	"1"	"1"	"1000"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"52"	"32"	"그라디우스"	"Gradius"	"1"	"1"	"2000"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"52"	"49"	"무관의 장검"	"Pretender King Longsword"	"1"	"1"	"500"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"0"	"2021"	"검사의 서 (인피니티:닷지)"	"Fencer Tech (Infinity: Dodge)"	"1"	"1"	"20"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"0"	"20014"	"마법의 투구: 치유"	"Helm of Magic: Healing"	"1"	"1"	"1000"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"0"	"40014"	"용기의 물약"	"Brave Potion"	"1"	"1"	"1000"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"52"	"40308"	"아데나"	"Adena"	"35"	"174"	"100000"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"0"	"40408"	"철괴"	"Lump of Iron"	"1"	"5"	"2000"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"0"	"40899"	"강철 원석"	"Lump of Rough Iron"	"1"	"1"	"1000"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5032"	"드워프 검사"	"Dwarf Swordsman"	"52"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1000"	"0"
"5033"	"드워프 창병"	"Dwarf Pikeman"	"52"	"104"	"포챠드"	"Fauchard"	"1"	"1"	"2000"	"0"
"5033"	"드워프 창병"	"Dwarf Pikeman"	"52"	"20014"	"마법의 투구: 치유"	"Helm of Magic: Healing"	"1"	"1"	"1000"	"0"
"5033"	"드워프 창병"	"Dwarf Pikeman"	"52"	"40308"	"아데나"	"Adena"	"35"	"174"	"100000"	"0"
"5033"	"드워프 창병"	"Dwarf Pikeman"	"52"	"40408"	"철괴"	"Lump of Iron"	"1"	"5"	"2000"	"0"
"5033"	"드워프 창병"	"Dwarf Pikeman"	"0"	"40899"	"강철 원석"	"Lump of Rough Iron"	"1"	"1"	"1000"	"0"
"5033"	"드워프 창병"	"Dwarf Pikeman"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5033"	"드워프 창병"	"Dwarf Pikeman"	"0"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1000"	"0"
"5034"	"오크 전사"	"Orc Fighter"	"52"	"32"	"그라디우스"	"Gradius"	"1"	"1"	"2000"	"0"
"5034"	"오크 전사"	"Orc Fighter"	"52"	"40014"	"용기의 물약"	"Brave Potion"	"1"	"1"	"1000"	"0"
"5034"	"오크 전사"	"Orc Fighter"	"0"	"40269"	"흑정령의 수정 (드레스 마이티)"	"Dark Spirit Crystal (Dress Mighty)"	"1"	"1"	"200"	"0"
"5034"	"오크 전사"	"Orc Fighter"	"52"	"40305"	"파아그리오의 유산"	"Relic of Paagrio"	"1"	"1"	"2000"	"0"
"5034"	"오크 전사"	"Orc Fighter"	"52"	"40308"	"아데나"	"Adena"	"35"	"174"	"100000"	"0"
"5034"	"오크 전사"	"Orc Fighter"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5034"	"오크 전사"	"Orc Fighter"	"52"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1000"	"0"
"5035"	"오크 궁수"	"Orc Archer"	"0"	"168"	"어둠의 활"	"Dark Crossbow"	"1"	"1"	"2000"	"0"
"5035"	"오크 궁수"	"Orc Archer"	"0"	"40274"	"흑정령의 수정 (드레스 덱스터리티)"	"Dark Spirit Crystal (Dress Dexterity)"	"1"	"1"	"200"	"0"
"5035"	"오크 궁수"	"Orc Archer"	"0"	"40305"	"파아그리오의 유산"	"Relic of Paagrio"	"1"	"1"	"2000"	"0"
"5035"	"오크 궁수"	"Orc Archer"	"0"	"40308"	"아데나"	"Adena"	"35"	"174"	"100000"	"0"
"5035"	"오크 궁수"	"Orc Archer"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5035"	"오크 궁수"	"Orc Archer"	"0"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1000"	"0"
"5036"	"오크 마법사"	"Orc Wizard"	"55"	"129"	"마법사의 지팡이"	"Wizard's Staff"	"1"	"1"	"2000"	"0"
"5036"	"오크 마법사"	"Orc Wizard"	"55"	"20280"	"멸마의 반지"	"Ring of Immunity to Magic"	"1"	"1"	"500"	"0"
"5036"	"오크 마법사"	"Orc Wizard"	"55"	"40090"	"빈 주문서 1"	"Blank Scroll (Level 1)"	"1"	"1"	"2000"	"0"
"5036"	"오크 마법사"	"Orc Wizard"	"0"	"40224"	"마법서 (어드밴스 스피릿)"	"Spellbook (Advanced Spirit)"	"1"	"1"	"20"	"0"
"5036"	"오크 마법사"	"Orc Wizard"	"55"	"40305"	"파아그리오의 유산"	"Relic of Paagrio"	"1"	"1"	"2000"	"0"
"5036"	"오크 마법사"	"Orc Wizard"	"55"	"40308"	"아데나"	"Adena"	"35"	"174"	"100000"	"0"
"5036"	"오크 마법사"	"Orc Wizard"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5036"	"오크 마법사"	"Orc Wizard"	"0"	"210028"	"용기사의 서판 (마그마 에로우)"	"Dragon Tablet (Magma Arrow)"	"1"	"1"	"200"	"0"
"5036"	"오크 마법사"	"Orc Wizard"	"55"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1000"	"0"
"5037"	"오크 창병"	"Orc Pikeman"	"0"	"104"	"포챠드"	"Fauchard"	"1"	"1"	"2000"	"0"
"5037"	"오크 창병"	"Orc Pikeman"	"0"	"40305"	"파아그리오의 유산"	"Relic of Paagrio"	"1"	"1"	"2000"	"0"
"5037"	"오크 창병"	"Orc Pikeman"	"0"	"40308"	"아데나"	"Adena"	"35"	"174"	"100000"	"0"
"5037"	"오크 창병"	"Orc Pikeman"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5037"	"오크 창병"	"Orc Pikeman"	"0"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1000"	"0"
"5038"	"오크"	"Orc"	"48"	"146"	"모닝스타"	"Morning Star"	"1"	"1"	"2000"	"0"
"5038"	"오크"	"Orc"	"48"	"40305"	"파아그리오의 유산"	"Relic of Paagrio"	"1"	"1"	"2000"	"0"
"5038"	"오크"	"Orc"	"48"	"40308"	"아데나"	"Adena"	"35"	"174"	"100000"	"0"
"5038"	"오크"	"Orc"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5038"	"오크"	"Orc"	"0"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1000"	"0"
"5039"	"변절자 장로"	"Traitor"	"0"	"125"	"마력의 지팡이"	"Staff of Sorcery"	"1"	"1"	"2000"	"0"
"5039"	"변절자 장로"	"Traitor"	"52"	"20281"	"변신 조종 반지"	"Ring of Polymorph Control"	"1"	"1"	"50"	"0"
"5039"	"변절자 장로"	"Traitor"	"0"	"40008"	"변신 막대"	"Wand of Polymorph"	"11"	"15"	"1000"	"0"
"5039"	"변절자 장로"	"Traitor"	"52"	"40015"	"마나 회복 물약"	"Mana Potion"	"1"	"1"	"2000"	"0"
"5039"	"변절자 장로"	"Traitor"	"52"	"40016"	"지혜의 물약"	"Wisdom Potion"	"1"	"1"	"2000"	"0"
"5039"	"변절자 장로"	"Traitor"	"52"	"40091"	"빈 주문서 2"	"Blank Scroll (Lv 2)"	"1"	"1"	"1500"	"0"
"5039"	"변절자 장로"	"Traitor"	"52"	"40175"	"마법서 (카운터 매직)"	"Spellbook (Counter Magic)"	"1"	"1"	"100"	"0"
"5039"	"변절자 장로"	"Traitor"	"52"	"40220"	"마법서 (그레이트 리절렉션)"	"Spellbook (Greater Resurrection)"	"1"	"1"	"100"	"0"
"5039"	"변절자 장로"	"Traitor"	"52"	"40308"	"아데나"	"Adena"	"174"	"474"	"100000"	"0"
"5039"	"변절자 장로"	"Traitor"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5039"	"변절자 장로"	"Traitor"	"52"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1500"	"0"
"5040"	"괴물 눈"	"Floating Eye"	"40"	"40025"	"불 투명 물야"	"Potion of Blindness"	"1"	"1"	"10000"	"0"
"5040"	"괴물 눈"	"Floating Eye"	"40"	"40057"	"괴물 눈 고기"	"Floating Eye Meat"	"1"	"3"	"10000"	"0"
"5040"	"괴물 눈"	"Floating Eye"	"40"	"40175"	"마법서 (카운터 매직)"	"Spellbook (Counter Magic)"	"1"	"1"	"200"	"0"
"5040"	"괴물 눈"	"Floating Eye"	"40"	"40178"	"마법서 (커스 패럴라이즈)"	"Spellbook (Curse Paralyze)"	"1"	"1"	"200"	"0"
"5040"	"괴물 눈"	"Floating Eye"	"0"	"40307"	"사이하의 유산"	"Relic of Sayha"	"1"	"1"	"2000"	"0"
"5040"	"괴물 눈"	"Floating Eye"	"0"	"60716"	"기사단의 주화"	"Templar Coin"	"247"	"1014"	"100000"	"0"
"5040"	"괴물 눈"	"Floating Eye"	"49"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1000"	"0"
"5041"	"장로"	"Elder"	"0"	"129"	"마법사의 지팡이"	"Wizard's Staff"	"1"	"1"	"1500"	"0"
"5041"	"장로"	"Elder"	"40"	"20267"	"지혜의 목걸이"	"Amulet of Wisdom"	"1"	"1"	"100"	"0"
"5041"	"장로"	"Elder"	"40"	"20281"	"변신 조종 반지"	"Ring of Polymorph Control"	"1"	"1"	"50"	"0"
