"skill_id"	"name"	"desc_kr"	"desc_en"	"skill_level"	"mpConsume"	"hpConsume"	"itemConsumeId"	"itemConsumeCount"	"reuseDelay"	"delayGroupId"	"fixDelay"	"buffDuration"	"buffDuration_txt"	"target"	"target_to"	"target_to_txt"	"effect_txt"	"damage_value"	"damage_dice"	"damage_dice_count"	"probability_value"	"probability_dice"	"attr"	"type"	"alignment"	"ranged"	"area"	"is_through"	"action_id"	"action_id2"	"action_id3"	"castgfx"	"castgfx2"	"castgfx3"	"sysmsgID_happen"	"sysmsgID_stop"	"sysmsgID_fail"	"classType"	"grade"
"21"	"프로즌 클라우드"	"프로즌 클라우드"	"Frozen Cloud"	"3"	"20"	"0"	"0"	"0"	"1500"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 6 cells"	"Inflicts area damage with a cold cloud."	"4"	"3"	"2"	"0"	"0"	"WATER"	"ATTACK"	"0"	"6"	"3"	"false"	"18"	"0"	"0"	"6012"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"22"	"위크 엘리멘탈"	"위크 엘리멘탈"	"Weak Elemental"	"3"	"8"	"0"	"0"	"0"	"1400"	"0"	"false"	"0"	"Instant"	"BUFF"	"NPC"	"1 PC/NPC within 10 cells"	"Identifies the opponent's elemental weakness.<br>Earth/Fire/Wind/Water attributes."	"0"	"0"	"0"	"0"	"0"	"NONE"	"OTHER"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"2510"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"23"	"none"	"none"	""	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"false"	"0"	""	"NONE"	"ME"	""	""	"0"	"0"	"0"	"0"	"0"	"NONE"	"NONE"	"0"	"0"	"0"	"false"	"19"	"0"	"0"	"189"	"0"	"0"	"0"	"0"	"0"	"none"	"NORMAL"
"24"	"파이어볼"	"파이어볼"	"Fireball"	"4"	"20"	"0"	"0"	"0"	"1700"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 6 cells"	"Deals area damage with a burning fireball."	"4"	"3"	"3"	"0"	"0"	"FIRE"	"ATTACK"	"0"	"6"	"3"	"false"	"18"	"0"	"0"	"171"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"25"	"인챈트 덱스터리티"	"인챈트 덱스터리티"	"Enchant Dexterity"	"4"	"50"	"0"	"0"	"0"	"1500"	"0"	"false"	"1200"	"1,200s"	"BUFF"	"PLEDGE"	"Caster and 1 ally within 10 cells"	"Enhances agility.<br>+5 DEX"	"0"	"0"	"0"	"0"	"0"	"WIND"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"750"	"0"	"0"	"294"	"0"	"280"	"normal"	"NORMAL"
"26"	"웨폰 브레이크"	"웨폰 브레이크"	"Weapon Break"	"4"	"32"	"0"	"40318"	"1"	"4300"	"0"	"false"	"0"	"Instant"	"BUFF"	"ALL"	"1 PC/NPC within 4 cells"	"Damages the target's equipped weapon."	"0"	"0"	"0"	"32"	"10"	"FIRE"	"CURSE"	"-10"	"4"	"0"	"false"	"19"	"0"	"0"	"172"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"27"	"뱀파이어릭 터치"	"뱀파이어릭 터치"	"Vampiric Touch"	"4"	"12"	"0"	"0"	"0"	"1500"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 3 cells"	"Drains HP from the target."	"7"	"3"	"3"	"0"	"0"	"WATER"	"ATTACK"	"-5"	"3"	"0"	"false"	"18"	"0"	"0"	"11769"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"28"	"슬로우"	"슬로우"	"Slow"	"4"	"20"	"0"	"40318"	"1"	"1700"	"0"	"false"	"64"	"64s"	"BUFF"	"ALL"	"1 PC/NPC within 10 cells"	"Reduces movement and attack speed."	"0"	"0"	"0"	"60"	"16"	"WIND"	"PROB"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"752"	"0"	"0"	"277"	"0"	"280"	"normal"	"NORMAL"
"29"	"어스 재일"	"어스 재일"	"Earth Seal"	"4"	"24"	"0"	"0"	"0"	"1700"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 8 cells"	"Deals area damage with thorny vines."	"6"	"5"	"3"	"0"	"0"	"EARTH"	"ATTACK"	"0"	"6"	"2"	"false"	"18"	"0"	"0"	"1805"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"30"	"카운터 매직"	"카운터 매직"	"Counter Magic"	"4"	"20"	"0"	"40318"	"1"	"1500"	"0"	"false"	"16"	"16s"	"NONE"	"ME"	"Caster"	"Nullifies one damaging spell.<br>(* Except some spells)"	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"0"	"0"	"false"	"19"	"0"	"0"	"10701"	"10702"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"31"	"메디테이션"	"메디테이션"	"Meditation"	"4"	"5"	"30"	"0"	"0"	"1500"	"0"	"false"	"640"	"640s"	"NONE"	"ME"	"Caster"	"Focuses the mind through meditation.<br>Enhances effects of mana recovery potions."	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"0"	"0"	"false"	"19"	"0"	"0"	"2173"	"0"	"0"	"0"	"2181"	"0"	"normal"	"NORMAL"
"32"	"커스: 패럴라이즈"	"커스: 패럴라이즈"	"Curse: Paralyze"	"5"	"80"	"0"	"40318"	"2"	"6200"	"0"	"true"	"0"	"4s"	"BUFF"	"ALL"	"1 PC/NPC within 1 cell"	"Casts a curse, causing paralysis on target.<br>(Petrification status)"	"0"	"0"	"0"	"18"	"8"	"EARTH"	"CURSE"	"-500"	"1"	"0"	"false"	"19"	"0"	"0"	"10704"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"33"	"콜 라이트닝"	"콜 라이트닝"	"Call Lightning"	"5"	"18"	"0"	"0"	"0"	"1400"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 6 cells"	"Summons lightning for significant damage."	"16"	"5"	"3"	"0"	"0"	"WIND"	"ATTACK"	"0"	"10"	"0"	"false"	"18"	"0"	"0"	"11736"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"34"	"그레이터 힐"	"그레이터 힐"	"Greater Heal"	"5"	"20"	"0"	"0"	"0"	"2000"	"0"	"false"	"0"	"Instant"	"NONE"	"ALL"	"Caster"	"Restores a significant amount of the caster's HP."	"11"	"9"	"0"	"0"	"0"	"WATER"	"HEAL"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"11724"	"0"	"0"	"77"	"0"	"280"	"normal"	"NORMAL"
"35"	"테이밍 몬스터"	"테이밍 몬스터"	"Taming Monster"	"5"	"30"	"20"	"40318"	"1"	"1500"	"0"	"false"	"0"	"3,600s"	"BUFF"	"NPC"	"1 NPC within 10 cells"	"Charms a monster.<br>Turns it into a minion."	"0"	"0"	"0"	"0"	"6"	"NONE"	"PROB"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"228"	"0"	"0"	"0"	"324"	"280"	"normal"	"NORMAL"
"36"	"리무브 커스"	"리무브 커스"	"Remove Curse"	"5"	"20"	"0"	"0"	"0"	"1500"	"0"	"false"	"0"	"Instant"	"BUFF"	"ALL"	"1 PC/NPC within 8 cells"	"Removes a cast curse from the target."	"0"	"0"	"0"	"0"	"0"	"WIND"	"CHANGE"	"0"	"8"	"0"	"false"	"19"	"0"	"0"	"227"	"0"	"0"	"155"	"0"	"280"	"normal"	"NORMAL"
"37"	"콘 오브 콜드"	"콘 오브 콜드"	"Cone Of Cold"	"5"	"18"	"0"	"0"	"0"	"1300"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 6 cells"	"Deals significant damage with a cone of cold."	"20"	"5"	"3"	"0"	"0"	"WATER"	"ATTACK"	"0"	"10"	"0"	"false"	"18"	"0"	"0"	"11738"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"38"	"마나 드레인"	"마나 드레인"	"Mana Drain"	"5"	"1"	"50"	"0"	"0"	"1700"	"0"	"false"	"0"	"Instant"	"BUFF"	"ALL"	"1 PC/NPC within 4 cells"	"Absorbs target's MP."	"0"	"0"	"0"	"8"	"12"	"NONE"	"PROB"	"0"	"4"	"0"	"false"	"19"	"0"	"0"	"2172"	"0"	"0"	"690"	"0"	"280"	"normal"	"NORMAL"
"39"	"다크니스"	"다크니스"	"Darkness"	"5"	"15"	"0"	"40318"	"1"	"1700"	"0"	"false"	"32"	"32s"	"BUFF"	"ALL"	"1 PC/NPC within 3 cells"	"Casts a spell, causing blindness on target.<br>(Darkened state)"	"0"	"0"	"0"	"30"	"11"	"NONE"	"PROB"	"-5"	"3"	"0"	"false"	"19"	"0"	"0"	"2175"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"40"	"크리에이트 좀비"	"크리에이트 좀비"	"Create Zombie"	"6"	"5"	"80"	"40318"	"1"	"1700"	"0"	"false"	"0"	"3,600s"	"BUFF"	"NPC"	"1 NPC corpse within 10 cells"	"Turns a corpse into a zombie.<br>Turns it into a minion."	"0"	"0"	"0"	"0"	"0"	"EARTH"	"RESTORE"	"-10"	"-1"	"0"	"false"	"19"	"0"	"0"	"226"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"41"	"인챈트 마이티"	"인챈트 마이티"	"Enchant Strength"	"6"	"50"	"0"	"0"	"0"	"1500"	"0"	"false"	"1200"	"1,200s"	"BUFF"	"PLEDGE"	"Caster or 1 ally within 10 cells"	"Enhances strength.<br>+5 STR"	"0"	"0"	"0"	"0"	"0"	"FIRE"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"751"	"0"	"0"	"292"	"0"	"280"	"normal"	"NORMAL"
"42"	"헤이스트"	"헤이스트"	"Haste"	"6"	"40"	"0"	"0"	"0"	"1500"	"0"	"false"	"1200"	"1,200s"	"BUFF"	"ALL"	"Caster or 1 PC/NPC within 10 cells"	"Increases the target's movement and attack speed."	"0"	"0"	"0"	"0"	"0"	"WIND"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"755"	"0"	"0"	"184"	"185"	"280"	"normal"	"NORMAL"
"43"	"캔슬레이션"	"캔슬레이션"	"Cancellation"	"6"	"40"	"0"	"40318"	"2"	"1800"	"0"	"false"	"0"	"Instant"	"BUFF"	"ALL"	"Caster or 1 PC/NPC within 8 cells"	"Removes status-changing magic.<br>(* Except some)"	"0"	"0"	"46"	"48"	"0"	"WIND"	"PROB"	"0"	"8"	"0"	"false"	"19"	"0"	"0"	"870"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"44"	"이럽션"	"이럽션"	"Eruption"	"6"	"20"	"0"	"0"	"0"	"1300"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 8 cells"	"Deals significant damage with a straight-line earthquake."	"22"	"5"	"3"	"0"	"0"	"EARTH"	"ATTACK"	"0"	"8"	"0"	"false"	"18"	"0"	"0"	"11750"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"45"	"선 버스트"	"선 버스트"	"Sunburst"	"6"	"20"	"0"	"0"	"0"	"1700"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 3 cells"	"Deals significant damage with a concentrated fire explosion."	"25"	"6"	"4"	"0"	"0"	"FIRE"	"ATTACK"	"0"	"4"	"0"	"false"	"18"	"0"	"0"	"11758"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"46"	"위크니스"	"위크니스"	"Weakness"	"6"	"10"	"0"	"40318"	"1"	"1700"	"0"	"false"	"64"	"64s"	"BUFF"	"ALL"	"1 PC/NPC within 3 cells"	"Casts a curse, causing debilitation.<br>-5 Melee Damage<br>-1 Melee Hit"	"0"	"0"	"0"	"58"	"14"	"NONE"	"CURSE"	"-5"	"3"	"0"	"false"	"19"	"0"	"0"	"2228"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"47"	"블레스 웨폰"	"블레스 웨폰"	"Bless Weapon"	"6"	"20"	"0"	"0"	"0"	"1500"	"0"	"false"	"1200"	"1,200s"	"BUFF"	"ALL"	"Caster or 1 ally PC within 10 cells"	"Enchants a weapon with magic.<br>+2 Melee Damage<br>+2 Melee Hit"	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"2176"	"0"	"0"	"857"	"2167"	"0"	"normal"	"NORMAL"
"48"	"힐 올"	"힐 올"	"Heal All"	"7"	"50"	"30"	"40318"	"2"	"2000"	"0"	"false"	"0"	"Instant"	"NONE"	"PARTY"	"All party members within 8 cells except the caster"	"Simultaneously restores HP for all party members except the caster."	"10"	"8"	"0"	"0"	"0"	"WATER"	"HEAL"	"0"	"0"	"-1"	"false"	"19"	"0"	"0"	"759"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"49"	"프리징 아머"	"프리징 아머"	"Freezing Armor"	"7"	"60"	"0"	"0"	"0"	"1400"	"0"	"false"	"1800"	"1800s"	"NONE"	"ME"	"Caster"	"Enchants caster armor with magic.<br>+5 ER"	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"17867"	"0"	"0"	"5889"	"0"	"0"	"normal"	"NORMAL"
"50"	"서먼 몬스터"	"서먼 몬스터"	"Summon Monster"	"7"	"30"	"30"	"40318"	"20"	"300000"	"5"	"true"	"0"	"3,600s"	"NONE"	"ME"	""	"Summons a monster.<br>Type depends on level.<br>Summonable quantity fixed at 1."	"0"	"0"	"0"	"0"	"0"	"EARTH"	"OTHER"	"-10"	"0"	"0"	"false"	"19"	"0"	"0"	"2510"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"51"	"홀리 워크"	"홀리 워크"	"Holy Walk"	"7"	"30"	"0"	"40318"	"1"	"1400"	"0"	"false"	"300"	"300s"	"NONE"	"ME"	"Caster"	"Increases movement speed."	"0"	"0"	"0"	"0"	"0"	"WIND"	"CHANGE"	"0"	"0"	"0"	"false"	"19"	"0"	"0"	"3936"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"52"	"토네이도"	"토네이도"	"Tornado"	"7"	"40"	"0"	"0"	"0"	"2600"	"0"	"false"	"0"	"Instant"	"NONE"	"ALL"	"All enemies within 4 cells"	"Deals area damage with a whirlwind."	"10"	"3"	"3"	"0"	"0"	"WIND"	"ATTACK"	"0"	"0"	"4"	"false"	"18"	"0"	"0"	"758"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"53"	"그레이터 헤이스트"	"그레이터 헤이스트"	"Greater Haste"	"7"	"60"	"0"	"0"	"0"	"1500"	"0"	"false"	"2400"	"2,400s"	"NONE"	"ME"	"Caster"	"Greatly increases movement and attack speed."	"0"	"0"	"0"	"0"	"0"	"WIND"	"CHANGE"	"0"	"0"	"0"	"false"	"19"	"0"	"0"	"3104"	"0"	"0"	"184"	"185"	"0"	"normal"	"NORMAL"
"54"	"버서커스"	"버서커스"	"Berserkers"	"7"	"40"	"0"	"0"	"0"	"1400"	"0"	"false"	"320"	"320s"	"BUFF"	"ME"	"Caster or 1 ally party member or pledge member within 10 cells"	"Casts a spell, inducing berserker state.<br>+2 Melee Damage<br>+8 Melee Hit<br>HP natural recovery disabled<br>No debuff applied when used on self (AC increase, HP natural recovery)  "	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"3943"	"0"	"0"	"7839"	"0"	"280"	"normal"	"NORMAL"
"55"	"인챈트 어큐러시"	"인챈트 어큐러시"	"Enchant Accuracy"	"7"	"30"	"0"	"0"	"0"	"1400"	"0"	"false"	"1800"	"1800s"	"NONE"	"ME"	"Caster"	"Enchants a weapon with magic.<br>+5 Melee Hit"	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"17870"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"56"	"풀 힐"	"풀 힐"	"Full Heal"	"8"	"48"	"0"	"0"	"0"	"2000"	"0"	"false"	"0"	"Instant"	"BUFF"	"ALL"	"1 PC/NPC within 10 cells"	"Restores the target's HP.<br>Massive damage to undead."	"19"	"7"	"0"	"0"	"0"	"NONE"	"HEAL"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"11725"	"0"	"0"	"77"	"0"	"280"	"normal"	"NORMAL"
"57"	"파이어월"	"파이어월"	"Firewall"	"8"	"60"	"0"	"0"	"0"	"1700"	"0"	"false"	"10"	"10s"	"ATTACK"	"ALL"	"Area within 8 cells"	"Creates a wall of flames.<br>Touching the wall causes damage. "	"1"	"0"	"0"	"0"	"0"	"FIRE"	"ATTACK"	"0"	"8"	"0"	"false"	"18"	"0"	"0"	"168"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"58"	"블리자드"	"블리자드"	"Blizzard"	"8"	"60"	"10"	"0"	"0"	"2600"	"0"	"false"	"0"	"Instant"	"NONE"	"ALL"	"All enemies within 10 cells"	"Deals area damage with an intense cold wind."	"5"	"4"	"2"	"0"	"0"	"WATER"	"ATTACK"	"-10"	"0"	"10"	"false"	"18"	"0"	"0"	"757"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"59"	"인비지블리티"	"인비지블리티"	"Invisibility"	"8"	"15"	"0"	"40318"	"1"	"4200"	"0"	"false"	"0"	"As long as MP is maintained"	"NONE"	"ME"	"Caster"	"Invisible state.<br>Behavior restricted."	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"0"	"0"	"false"	"19"	"0"	"0"	"221"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
