"id"	"name"	"polyid"	"minlevel"	"weaponequip"	"armorequip"	"isSkillUse"	"cause"	"bonusPVP"	"formLongEnable"
"22"	"lv80 silver shadow"	"15866"	"80"	"3839"	"4095"	"1"	"7"	"false"	"false"
"23"	"lv82 shadow master"	"11381"	"82"	"3839"	"4095"	"1"	"7"	"false"	"false"
"24"	"lv84 arch assassin"	"15868"	"84"	"3839"	"4095"	"1"	"7"	"false"	"false"
"25"	"lv1 dudamara orc"	"11330"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"26"	"lv1 darkelf carrier"	"3887"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"27"	"lv1 black knight"	"11368"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"28"	"lv1 darkelf spear"	"11351"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"29"	"lv1 night watch"	"11447"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"30"	"lv1 phonos lance"	"15599"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"31"	"lv75 lance master"	"15834"	"75"	"3839"	"4095"	"1"	"7"	"false"	"false"
"32"	"lv80 lance master"	"15534"	"80"	"3839"	"4095"	"1"	"7"	"false"	"false"
"33"	"lv82 lance master"	"15537"	"82"	"3839"	"4095"	"1"	"7"	"false"	"false"
"34"	"lv84 lance master"	"15539"	"84"	"3839"	"4095"	"1"	"7"	"false"	"false"
"35"	"lv1 fire bowman"	"11369"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"36"	"lv1 orc archer"	"11331"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"37"	"lv1 orc scout"	"11342"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"38"	"lv1 dark ranger"	"11382"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"39"	"lv1 silver ranger"	"11386"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"40"	"lv1 arrow master"	"11390"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"41"	"lv1 arch scouter"	"11394"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"42"	"lv1 darkelf thief"	"11353"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"43"	"lv1 darkelf"	"11378"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"44"	"lv1 phonos bow"	"15848"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"45"	"lv1 jin darkelf"	"13346"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"46"	"lv1 high elf"	"15814"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"47"	"lv82 owen"	"13631"	"82"	"256"	"4095"	"1"	"7"	"false"	"false"
"48"	"lv84 owen"	"13635"	"84"	"256"	"4095"	"1"	"7"	"false"	"false"
"49"	"lv1 elder"	"15553"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"50"	"lv1 dark elder"	"15557"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"51"	"lv1 black wizard"	"11370"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"52"	"lv1 dark magister"	"11383"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"53"	"lv1 silver magister"	"11387"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"54"	"lv1 wizardry master"	"11391"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"55"	"lv1 arch magister"	"11395"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"56"	"lv1 phonos master"	"15849"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"57"	"lv75 jin baphomet"	"3888"	"75"	"751"	"3006"	"1"	"7"	"false"	"false"
"58"	"lv80 baphomet master"	"15545"	"80"	"3839"	"4095"	"1"	"7"	"false"	"false"
"59"	"lv82 baphomet master"	"15548"	"82"	"3839"	"4095"	"1"	"7"	"false"	"false"
"60"	"lv85 zin baphomet red"	"15550"	"84"	"3839"	"4095"	"1"	"7"	"false"	"false"
"61"	"lv1 beleth"	"11379"	"1"	"751"	"954"	"1"	"7"	"false"	"false"
"62"	"lv1 cockatrice"	"15564"	"1"	"0"	"4095"	"1"	"7"	"false"	"false"
"18656"	"basic prince female 80"	"18656"	"80"	"4095"	"4095"	"1"	"7"	"false"	"false"
"64"	"lv80 guard spear green"	"15531"	"80"	"3839"	"4095"	"1"	"7"	"false"	"false"
"65"	"lv80 guard archer green"	"15528"	"80"	"256"	"4095"	"1"	"7"	"false"	"false"
"66"	"lv82 guard archer blue"	"15830"	"82"	"256"	"4095"	"1"	"7"	"false"	"false"
"67"	"lv82 guard spear blue"	"15832"	"82"	"3839"	"4095"	"1"	"7"	"false"	"false"
"68"	"lv84 guard spear red"	"15833"	"84"	"3839"	"4095"	"1"	"7"	"false"	"false"
"69"	"lv84 guard archer red"	"15831"	"84"	"256"	"4095"	"1"	"7"	"false"	"false"
"95"	"shelob"	"95"	"10"	"0"	"0"	"0"	"7"	"false"	"false"
"146"	"ungoliant"	"146"	"10"	"0"	"0"	"0"	"7"	"false"	"false"
"938"	"beagle"	"938"	"100"	"0"	"2"	"1"	"7"	"false"	"false"
"945"	"milkcow"	"945"	"1"	"0"	"0"	"0"	"7"	"false"	"false"
"947"	"deer"	"947"	"1"	"0"	"0"	"0"	"7"	"false"	"false"
"951"	"cerberus"	"951"	"15"	"0"	"0"	"0"	"7"	"false"	"false"
"979"	"wild boar"	"979"	"1"	"0"	"0"	"1"	"7"	"false"	"false"
"1037"	"giant ant"	"1037"	"1"	"0"	"136"	"0"	"7"	"false"	"false"
"1039"	"giant ant soldier"	"1039"	"1"	"0"	"136"	"0"	"7"	"false"	"false"
"1047"	"scorpion"	"1047"	"15"	"0"	"0"	"0"	"7"	"false"	"false"
"2064"	"snowman"	"2064"	"100"	"0"	"1027"	"1"	"7"	"false"	"false"
"2284"	"dark elf polymorph"	"2284"	"52"	"256"	"4095"	"1"	"7"	"false"	"false"
"2323"	"orc scout polymorph"	"2323"	"15"	"256"	"4095"	"1"	"7"	"false"	"false"
"2374"	"skeleton polymorph"	"2374"	"10"	"751"	"4095"	"1"	"7"	"false"	"false"
"2376"	"skeleton axeman polymorph"	"2376"	"10"	"751"	"4095"	"1"	"7"	"false"	"false"
"2377"	"skeleton pike polymorph"	"2377"	"10"	"3839"	"4095"	"1"	"7"	"false"	"false"
"2378"	"spartoi polymorph"	"2378"	"10"	"751"	"4095"	"1"	"7"	"false"	"false"
"2382"	"근위"	"6406"	"100"	"256"	"4095"	"1"	"7"	"false"	"false"
"2384"	"succubus morph"	"2384"	"40"	"751"	"4095"	"1"	"7"	"false"	"false"
"2385"	"yeti morph"	"2385"	"15"	"751"	"4095"	"1"	"7"	"false"	"false"
"2386"	"minotaur i morph"	"2386"	"15"	"751"	"4095"	"1"	"7"	"false"	"false"
"2387"	"giant a morph"	"2387"	"15"	"3839"	"4095"	"1"	"7"	"false"	"false"
"2388"	"death"	"2388"	"100"	"0"	"32"	"0"	"7"	"false"	"false"
"2501"	"jack o lantern"	"2501"	"0"	"0"	"4095"	"1"	"7"	"false"	"false"
"2885"	"박쥐"	"2885"	"1"	"0"	"4095"	"0"	"7"	"false"	"false"
"3101"	"black knight chief morph"	"3101"	"51"	"751"	"4095"	"1"	"7"	"false"	"false"
"3102"	"great minotaur morph"	"3102"	"50"	"3839"	"4095"	"1"	"7"	"false"	"false"
"3103"	"barlog morph"	"3103"	"52"	"3839"	"4095"	"1"	"7"	"false"	"false"
"3126"	"fire bowman morph"	"3126"	"51"	"256"	"4095"	"1"	"7"	"false"	"false"
"3630"	"cyclops"	"3630"	"40"	"751"	"4095"	"1"	"7"	"false"	"false"
"3631"	"griffon"	"3631"	"40"	"0"	"32"	"1"	"7"	"false"	"false"
"3632"	"cockatrice"	"3632"	"40"	"0"	"4095"	"1"	"7"	"false"	"false"
"3633"	"ettin"	"3633"	"40"	"751"	"4095"	"1"	"7"	"false"	"false"
"3634"	"assassin"	"3634"	"45"	"751"	"4095"	"1"	"7"	"false"	"false"
"3664"	"baranka"	"3664"	"100"	"704"	"4095"	"1"	"7"	"false"	"false"
"3750"	"haregi"	"3750"	"100"	"0"	"4095"	"1"	"7"	"false"	"false"
"3784"	"death knight"	"6137"	"52"	"1775"	"4095"	"1"	"7"	"false"	"false"
"3860"	"bow orc"	"3860"	"1"	"256"	"4095"	"1"	"7"	"false"	"false"
"3861"	"goblin"	"3861"	"1"	"751"	"913"	"0"	"7"	"false"	"false"
"3862"	"kobolds"	"3862"	"1"	"751"	"913"	"1"	"7"	"false"	"false"
"3863"	"dwarf"	"3863"	"1"	"751"	"4095"	"1"	"7"	"false"	"false"
"3864"	"orc fighter"	"3864"	"1"	"751"	"4095"	"1"	"7"	"false"	"false"
"3865"	"werewolf"	"3865"	"1"	"751"	"4095"	"1"	"7"	"false"	"false"
"3866"	"gandi orc"	"3866"	"10"	"751"	"4095"	"1"	"7"	"false"	"false"
"3867"	"rova orc"	"3867"	"10"	"751"	"4095"	"1"	"7"	"false"	"false"
"3868"	"atuba orc"	"3868"	"10"	"751"	"4095"	"1"	"7"	"false"	"false"
"3869"	"dudamara orc"	"3869"	"10"	"3839"	"4095"	"1"	"7"	"false"	"false"
"3870"	"neruga orc"	"3870"	"10"	"3839"	"4095"	"1"	"7"	"false"	"false"
"3871"	"skeleton archer polymorph"	"3871"	"10"	"256"	"4095"	"1"	"7"	"false"	"false"
"3872"	"zombie"	"3872"	"10"	"751"	"4095"	"1"	"7"	"false"	"false"
"3873"	"ghoul"	"3873"	"10"	"751"	"4095"	"1"	"7"	"false"	"false"
"3874"	"lycanthrope"	"3874"	"10"	"751"	"4095"	"1"	"7"	"false"	"false"
"3875"	"ghast"	"3875"	"10"	"751"	"945"	"1"	"7"	"false"	"false"
"3876"	"bugbear"	"3876"	"10"	"751"	"945"	"1"	"7"	"false"	"false"
"3877"	"ogre"	"3877"	"15"	"3839"	"913"	"1"	"7"	"false"	"false"
"3878"	"troll"	"3878"	"15"	"751"	"545"	"1"	"7"	"false"	"false"
"3879"	"elder"	"3879"	"15"	"751"	"0"	"1"	"7"	"false"	"false"
"3880"	"king bugbear"	"3880"	"15"	"751"	"945"	"1"	"7"	"false"	"false"
"3881"	"dark elder"	"3881"	"45"	"751"	"4095"	"1"	"7"	"false"	"false"
"3882"	"necromancer1"	"3882"	"45"	"751"	"4095"	"1"	"7"	"false"	"false"
"3883"	"necromancer2"	"3883"	"45"	"751"	"4095"	"1"	"7"	"false"	"false"
"3884"	"necromancer3"	"3884"	"45"	"751"	"4095"	"1"	"7"	"false"	"false"
"3885"	"necromancer4"	"3885"	"45"	"751"	"4095"	"1"	"7"	"false"	"false"
"3886"	"lesser demon"	"3886"	"45"	"751"	"4095"	"0"	"7"	"false"	"false"
"3887"	"darkelf carrier"	"3887"	"45"	"3839"	"4095"	"0"	"7"	"false"	"false"
"3888"	"baphomet"	"3888"	"50"	"751"	"954"	"1"	"7"	"false"	"false"
"3889"	"demon"	"3889"	"51"	"751"	"4095"	"1"	"7"	"false"	"false"
"3890"	"ancient black knight morph"	"3890"	"55"	"751"	"4095"	"1"	"7"	"false"	"false"
"3891"	"ancient black mage morph"	"3891"	"55"	"751"	"4095"	"1"	"7"	"false"	"false"
"3902"	"Kelenis Morph"	"3902"	"100"	"43"	"4095"	"1"	"7"	"false"	"false"
"3903"	"Ken Lauhel Morph"	"3903"	"100"	"751"	"4095"	"1"	"7"	"false"	"false"
"3904"	"stone golem"	"3904"	"1"	"751"	"145"	"1"	"7"	"false"	"false"
"3905"	"beleth"	"3905"	"50"	"751"	"954"	"1"	"7"	"false"	"false"
"3906"	"orc"	"3906"	"1"	"751"	"4095"	"1"	"7"	"false"	"false"
"3945"	"gelatincube"	"3945"	"15"	"751"	"0"	"1"	"7"	"false"	"false"
"3950"	"middle oum"	"3950"	"15"	"751"	"4095"	"1"	"7"	"false"	"false"
"3952"	"vampire"	"3952"	"100"	"0"	"32"	"0"	"7"	"false"	"false"
"4000"	"knight vald morph"	"4000"	"100"	"1775"	"4095"	"1"	"7"	"false"	"false"
"4001"	"iris morph"	"4001"	"100"	"3839"	"4095"	"1"	"7"	"false"	"false"
"4002"	"paperman morph"	"4002"	"100"	"1775"	"4095"	"1"	"7"	"false"	"false"
"4004"	"succubus queen morph"	"4004"	"100"	"1775"	"4095"	"1"	"7"	"false"	"false"
"4186"	"robber bone"	"4186"	"100"	"751"	"4095"	"0"	"7"	"false"	"false"
"4188"	"robber bone head"	"4188"	"100"	"751"	"4095"	"0"	"7"	"false"	"false"
"4190"	"robber bone soldier"	"4190"	"100"	"256"	"4095"	"0"	"7"	"false"	"false"
"4227"	"hakama"	"4227"	"100"	"0"	"4095"	"1"	"7"	"false"	"false"
"4767"	"rabbit"	"4767"	"100"	"2047"	"4095"	"1"	"7"	"false"	"false"
"4769"	"carrot rabbit"	"4769"	"100"	"2047"	"4095"	"1"	"7"	"false"	"false"
"4917"	"darkelf ranger morph"	"4917"	"45"	"256"	"4095"	"1"	"7"	"false"	"false"
"4918"	"bandit bow morph"	"4918"	"40"	"256"	"4095"	"1"	"7"	"false"	"false"
"4919"	"darkelf guard morph"	"4919"	"50"	"256"	"4095"	"1"	"7"	"false"	"false"
"4920"	"elmor general morph"	"4920"	"45"	"3839"	"4095"	"1"	"7"	"false"	"false"
"4921"	"darkelf general morph"	"4921"	"52"	"3839"	"4095"	"1"	"7"	"false"	"false"
"4922"	"guardian armor morph"	"4922"	"50"	"751"	"4095"	"1"	"7"	"false"	"false"
"4923"	"black knight morph"	"4923"	"51"	"1080"	"4095"	"1"	"7"	"false"	"false"
"4924"	"darkelf spear morph"	"4924"	"50"	"1080"	"4095"	"1"	"7"	"false"	"false"
"4925"	"elmor soldier morph"	"4925"	"40"	"1080"	"4095"	"1"	"7"	"false"	"false"
"4926"	"darkelf wizard morph"	"4926"	"50"	"751"	"4095"	"1"	"7"	"false"	"false"
"4928"	"high collie"	"4928"	"100"	"0"	"2"	"1"	"7"	"false"	"false"
"4929"	"high raccoon"	"4929"	"100"	"0"	"2"	"1"	"7"	"false"	"false"
"4932"	"assassin master morph"	"4932"	"52"	"751"	"4095"	"1"	"7"	"false"	"false"
"5184"	"red uniform"	"5184"	"100"	"0"	"8"	"1"	"7"	"false"	"false"
"5186"	"blue uniform"	"5186"	"100"	"0"	"8"	"1"	"7"	"false"	"false"
"5641"	"광데스"	"5641"	"99"	"751"	"4095"	"1"	"7"	"false"	"false"
"5645"	"Halloween Pumpkin"	"5645"	"1"	"2031"	"4095"	"1"	"7"	"false"	"false"
"5719"	"manekineko"	"5719"	"100"	"2047"	"4095"	"1"	"7"	"false"	"false"
"5976"	"high bear"	"5976"	"100"	"751"	"2"	"0"	"7"	"false"	"false"
"6002"	"spirit of earth boss"	"6002"	"100"	"8"	"0"	"1"	"7"	"false"	"false"
"6010"	"red orc"	"6010"	"100"	"0"	"1"	"0"	"7"	"false"	"false"
"6080"	"princess horse"	"6080"	"100"	"16"	"4095"	"1"	"7"	"false"	"false"
"6086"	"Rabor Born Head"	"6086"	"100"	"751"	"4095"	"1"	"7"	"false"	"false"
"6087"	"Rabor Born archer"	"6087"	"100"	"256"	"4095"	"1"	"7"	"false"	"false"
"6088"	"Rabor Born knife"	"6088"	"100"	"751"	"4095"	"1"	"7"	"false"	"false"
"6089"	"drake morph"	"6089"	"100"	"3839"	"4095"	"1"	"7"	"false"	"false"
"6094"	"prince horse"	"6094"	"100"	"16"	"4095"	"1"	"7"	"false"	"false"
"6136"	"barlog 52"	"6136"	"52"	"3839"	"4095"	"1"	"7"	"false"	"false"
"6137"	"death 52"	"6137"	"52"	"1775"	"4095"	"1"	"7"	"false"	"false"
"6138"	"assassin 52"	"6138"	"52"	"751"	"4095"	"1"	"7"	"false"	"false"
"6139"	"general 52"	"6141"	"52"	"751"	"4095"	"1"	"7"	"false"	"false"
"6140"	"darkelf 52"	"6140"	"52"	"256"	"4095"	"1"	"7"	"false"	"false"
"6141"	"barlog 55"	"6141"	"55"	"3839"	"4095"	"1"	"7"	"false"	"false"
"6142"	"death 55"	"6142"	"55"	"1775"	"4095"	"1"	"7"	"false"	"false"
"6143"	"assassin 55"	"6143"	"55"	"751"	"4095"	"1"	"7"	"false"	"false"
"6144"	"general 55"	"6144"	"55"	"751"	"4095"	"1"	"7"	"false"	"false"
"6145"	"darkelf 55"	"6145"	"55"	"256"	"4095"	"1"	"7"	"false"	"false"
"6146"	"barlog 60"	"6146"	"60"	"3839"	"4095"	"1"	"7"	"false"	"false"
"6147"	"death 60"	"6147"	"60"	"1775"	"4095"	"1"	"7"	"false"	"false"
"6148"	"assassin 60"	"6148"	"60"	"751"	"4095"	"1"	"7"	"false"	"false"
"6149"	"general 60"	"6149"	"60"	"751"	"4095"	"1"	"7"	"false"	"false"
"6150"	"darkelf 60"	"6150"	"60"	"256"	"4095"	"1"	"7"	"false"	"false"
"6151"	"barlog 65"	"6151"	"65"	"3839"	"4095"	"1"	"7"	"false"	"false"
"6152"	"death 65"	"6152"	"65"	"1775"	"4095"	"1"	"7"	"false"	"false"
"6153"	"assassin 65"	"6153"	"65"	"751"	"4095"	"1"	"7"	"false"	"false"
"6154"	"general 65"	"6154"	"65"	"751"	"4095"	"1"	"7"	"false"	"false"
"6155"	"darkelf 65"	"6155"	"65"	"256"	"4095"	"1"	"7"	"false"	"false"
"6156"	"barlog 70"	"6156"	"70"	"3839"	"4095"	"1"	"7"	"false"	"false"
"6157"	"death 70"	"6157"	"70"	"1775"	"4095"	"1"	"7"	"false"	"false"
"6158"	"assassin 70"	"6158"	"70"	"751"	"4095"	"1"	"7"	"false"	"false"
"6159"	"general 70"	"6159"	"70"	"751"	"4095"	"1"	"7"	"false"	"false"
"6160"	"darkelf 70"	"6160"	"70"	"256"	"4095"	"1"	"7"	"false"	"false"
"6180"	"unicorn A"	"6180"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6181"	"unicorn B"	"6181"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6182"	"unicorn C"	"6182"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6183"	"unicorn D"	"6183"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6184"	"bear A"	"6184"	"100"	"749"	"4095"	"1"	"10"	"false"	"false"
"6185"	"bear B"	"6185"	"100"	"749"	"4095"	"1"	"10"	"false"	"false"
"6186"	"bear C"	"6186"	"100"	"749"	"4095"	"1"	"10"	"false"	"false"
"6187"	"bear D"	"6187"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6188"	"mini white dog A"	"6188"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6189"	"mini white dog B"	"6189"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6190"	"mini white dog C"	"6190"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6191"	"mini white dog D"	"6191"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6192"	"ratman A"	"6192"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6193"	"ratman B"	"6193"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6194"	"ratman C"	"6194"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6195"	"ratman D"	"6195"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6196"	"pet tiger A"	"6196"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6197"	"pet tiger B"	"6197"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6198"	"pet tiger C"	"6198"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6199"	"pet tiger D"	"6199"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6200"	"dillo A"	"6200"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6201"	"dillo B"	"6201"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6202"	"dillo C"	"6202"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6203"	"dillo D"	"6203"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6204"	"mole A"	"6204"	"100"	"256"	"4095"	"1"	"10"	"false"	"false"
"6205"	"mole B"	"6205"	"100"	"256"	"4095"	"1"	"10"	"false"	"false"
"6206"	"mole C"	"6206"	"100"	"256"	"4095"	"1"	"10"	"false"	"false"
"6207"	"mole D"	"6207"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6208"	"darkelf thief A"	"6208"	"100"	"1007"	"4095"	"1"	"10"	"false"	"false"
"6209"	"darkelf thief B"	"6209"	"100"	"1007"	"4095"	"1"	"10"	"false"	"false"
"6210"	"darkelf thief C"	"6210"	"100"	"1007"	"4095"	"1"	"10"	"false"	"false"
"6211"	"darkelf thief D"	"6211"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6212"	"ken lauhel A"	"6212"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6213"	"ken lauhel B"	"6213"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6214"	"ken lauhel C"	"6214"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6215"	"ken lauhel D"	"6215"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6216"	"kelenis A"	"6216"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6217"	"kelenis B"	"6217"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6218"	"kelenis C"	"6218"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6219"	"kelenis D"	"6219"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6220"	"slave A"	"6220"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6221"	"slave B"	"6221"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6222"	"slave C"	"6222"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6223"	"slave D"	"6223"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6224"	"dofleganger boss A"	"6224"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6225"	"dofleganger boss B"	"6225"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6226"	"dofleganger boss C"	"6226"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6227"	"dofleganger boss D"	"6227"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6228"	"lich A"	"6228"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6229"	"lich B"	"6229"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6230"	"lich C"	"6230"	"100"	"751"	"4095"	"1"	"10"	"false"	"false"
"6231"	"lich D"	"6231"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6232"	"woman1 A"	"6232"	"100"	"0"	"4095"	"0"	"10"	"false"	"false"
"6233"	"woman1 B"	"6233"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6234"	"woman2 A"	"6234"	"100"	"0"	"4095"	"0"	"10"	"false"	"false"
"6235"	"woman2 B"	"6235"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6236"	"woman3 A"	"6236"	"100"	"0"	"4095"	"0"	"10"	"false"	"false"
"6237"	"woman3 B"	"6237"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6238"	"woman4 A"	"6238"	"100"	"0"	"4095"	"0"	"10"	"false"	"false"
"6239"	"woman4 B"	"6239"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6240"	"woman5 A"	"6240"	"100"	"0"	"4095"	"0"	"10"	"false"	"false"
"6241"	"woman5 B"	"6241"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6242"	"noblewoman A"	"6242"	"100"	"0"	"4095"	"0"	"10"	"false"	"false"
"6243"	"noblewoman B"	"6243"	"100"	"0"	"0"	"0"	"10"	"false"	"false"
"6267"	"neo black knight"	"6267"	"55"	"751"	"4095"	"1"	"7"	"false"	"false"
"6268"	"neo black mage"	"6268"	"55"	"751"	"4095"	"1"	"7"	"false"	"false"
"6269"	"neo black scouter"	"6269"	"55"	"256"	"4095"	"1"	"7"	"false"	"false"
"6270"	"neo silver knight"	"6270"	"60"	"751"	"4095"	"1"	"7"	"false"	"false"
"6271"	"neo silver mage"	"6271"	"60"	"751"	"4095"	"1"	"7"	"false"	"false"
"6272"	"neo silver scouter"	"6272"	"60"	"256"	"4095"	"1"	"7"	"false"	"false"
"6273"	"neo gold knight"	"6273"	"65"	"751"	"4095"	"1"	"7"	"false"	"false"
"6274"	"neo gold mage"	"6274"	"65"	"751"	"4095"	"1"	"7"	"false"	"false"
"6275"	"neo gold scouter"	"6275"	"65"	"256"	"4095"	"1"	"7"	"false"	"false"
"6276"	"neo platinum knight"	"6276"	"70"	"751"	"4095"	"1"	"7"	"false"	"false"
"6277"	"neo platinum mage"	"6277"	"70"	"751"	"4095"	"1"	"7"	"false"	"false"
"6278"	"neo platinum scouter"	"6278"	"70"	"256"	"4095"	"1"	"7"	"false"	"false"
"6279"	"neo black assassin"	"6279"	"55"	"751"	"4095"	"1"	"7"	"false"	"false"
"6280"	"neo silver assassin"	"6280"	"60"	"751"	"4095"	"1"	"7"	"false"	"false"
"6281"	"neo gold assassin"	"6281"	"65"	"751"	"4095"	"1"	"7"	"false"	"false"
"6282"	"neo platinum assassin"	"6282"	"70"	"751"	"4095"	"1"	"7"	"false"	"false"
"6284"	"Haunted House jack o lantern"	"6284"	"100"	"0"	"0"	"0"	"7"	"false"	"false"
"6400"	"Halloween jack o lantern"	"6400"	"100"	"2047"	"4095"	"1"	"7"	"false"	"false"
